"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Elasmobranchii&cc=ASI"
"Access Time","Fri 2017-02-03 22:50:36 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Elasmobranchii"
"","cc","ASI"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.239"
"Records Found","1367"
"Records Returned","1367"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"138855","occ","","","11804","Batoidea indet.","unranked clade","63195","","Batoidea","unranked clade","63195","Early Cenomanian","Middle Cenomanian","99.6","93.5","13146"
"150604","occ","","","13366","Elasmobranchii indet.","subclass","54499","","Elasmobranchii","subclass","54499","Maastrichtian","","72.1","66","6037"
"150860","occ","","","13449","Isurus glaucus","species","34613","species not entered","Isurus","genus","34613","Miocene","","23.03","5.333","6063"
"150861","occ","","","13449","Galeolamna gangetica","species","86859","species not entered","Galeolamna","genus","86859","Miocene","","23.03","5.333","6063"
"150862","occ","","","13449","Hemipristis serra","species","83182","","Hemipristis serra","species","83182","Miocene","","23.03","5.333","6063"
"150863","occ","","","13449","Galeocerdo cuvieri","species","34643","species not entered","Galeocerdo","genus","34643","Miocene","","23.03","5.333","6063"
"150864","occ","","","13449","Myliobatis sinhaleyus","species","34741","species not entered","Myliobatis","genus","34741","Miocene","","23.03","5.333","6063"
"150865","occ","","","13449","Trygon sinhaleyus","species","68428","","Trygon sinhaleyus","species","68428","Miocene","","23.03","5.333","6063"
"150866","occ","","","13449","Chrysophrys miolankae","species","275739","misspelling of, species not entered","Chrysophris","genus","68429","Miocene","","23.03","5.333","6063"
"256596","occ","20911","","24901","Hybodontidae indet.","family","210086","","Hybodontidae","family","56538","Early Cretaceous","","145","100.5","28122"
"284100","occ","10475","","27014","Igdabatis indicus","species","111387","","Igdabatis indicus","species","111387","Maastrichtian","","72.1","66","7470"
"303811","occ","","","31026","Galeocerdo latidens","species","154351","","Galeocerdo latidens","species","154351","Middle Eocene","","48.6","37.2","8420"
"332011","occ","","","31267","Dasyatidae indet.","family","63613","","Dasyatidae","family","63613","Ypresian","","56","47.8","8420"
"332014","occ","","","31267","Hexanchus sp.","genus","34526","","Hexanchus","genus","34526","Ypresian","","56","47.8","8420"
"332015","occ","","","31267","Procarcharodon sp.","genus","100434","subjective synonym of","Carcharodon","genus","34605","Ypresian","","56","47.8","8420"
"332016","occ","","","31267","Isurus cf. spallanzani","species","154350","","Isurus spallanzani","species","154350","Ypresian","","56","47.8","8420"
"332017","occ","","","31267","Alopias cf. vulpinus","species","83164","","Alopias vulpinus","species","83163","Ypresian","","56","47.8","8420"
"332018","occ","","","31267","Galeocerdo latidens","species","154351","","Galeocerdo latidens","species","154351","Ypresian","","56","47.8","8420"
"332019","occ","","","31267","Galeocerdo ? informal sp. 1","species","34643","species not entered","Galeocerdo","genus","34643","Ypresian","","56","47.8","8420"
"332020","occ","","","31267","Galeocerdo ? informal sp. 2","species","34643","species not entered","Galeocerdo","genus","34643","Ypresian","","56","47.8","8420"
"332021","occ","","","31267","Hemipristis sp.","genus","34646","","Hemipristis","genus","34646","Ypresian","","56","47.8","8420"
"332022","occ","","","31267","Paragaleus sp.","genus","34654","","Paragaleus","genus","34654","Ypresian","","56","47.8","8420"
"332023","occ","","","31267","Galeorhinus sp.","genus","83177","","Galeorhinus","genus","83177","Ypresian","","56","47.8","8420"
"332024","occ","","","31267","Selachii indet.","unranked clade","80574","","Selachii","unranked clade","80574","Ypresian","","56","47.8","8420"
"332025","occ","","","31267","Rhinobatos sp.","genus","34708","","Rhinobatos","genus","34708","Ypresian","","56","47.8","8420"
"332026","occ","","","31267","Dasyatis n. sp. rafinesquei","species","154352","","Dasyatis rafinesquei","species","154352","Ypresian","","56","47.8","8420"
"332027","occ","","","31267","Dasyatis vicaryi","species","154057","","Dasyatis vicaryi","species","154057","Ypresian","","56","47.8","8420"
"332028","occ","","","31267","n. gen. Subathunura n. sp. casieri","species","154354","","Subathunura casieri","species","154354","Ypresian","","56","47.8","8420"
"332029","occ","","","31267","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Ypresian","","56","47.8","8420"
"332037","occ","","","31268","Galeocerdo latidens","species","154351","","Galeocerdo latidens","species","154351","Ypresian","","56","47.8","8420"
"375286","occ","","","35443","Paraorthacodus aff. nerviensis","species","151689","subjective synonym of","Paraorthacodus conicus","species","151690","Campanian","Maastrichtian","83.6","66","9577"
"375287","occ","","","35443","Hexanchus microdon","species","34526","species not entered","Hexanchus","genus","34526","Campanian","Maastrichtian","83.6","66","9577"
"375288","occ","","","35443","Squatina hassei","species","63024","","Squatina hassei","species","63024","Campanian","Maastrichtian","83.6","66","9577"
"375289","occ","","","35443","Pristiophorus sp.","genus","34566","","Pristiophorus","genus","34566","Campanian","Maastrichtian","83.6","66","9577"
"375291","occ","","","35443","Squalus sp.","genus","34562","","Squalus","genus","34562","Campanian","Maastrichtian","83.6","66","9577"
"375292","occ","","","35443","Centrosqualus sp.","genus","34540","","Centrosqualus","genus","34540","Campanian","Maastrichtian","83.6","66","9577"
"375293","occ","","","35443","Cretascymnus sp.","genus","34541","","Cretascymnus","genus","34541","Campanian","Maastrichtian","83.6","66","9577"
"375294","occ","","","35443","cf. Cretascymnus sp.","genus","34541","","Cretascymnus","genus","34541","Campanian","Maastrichtian","83.6","66","9577"
"375295","occ","","","35443","Squalicorax pristodontus","species","110987","","Squalicorax pristodontus","species","110986","Campanian","Maastrichtian","83.6","66","9577"
"375296","occ","","","35443","Squalicorax bassanii","species","34633","species not entered","Squalicorax","genus","34633","Campanian","Maastrichtian","83.6","66","9577"
"375297","occ","","","35443","Squalicorax sp.","genus","34633","","Squalicorax","genus","34633","Campanian","Maastrichtian","83.6","66","9577"
"375298","occ","","","35443","Pseudocorax aff. affinis","species","117666","","Pseudocorax affinis","species","117665","Campanian","Maastrichtian","83.6","66","9577"
"375299","occ","","","35443","Scapanorhynchus cf. raphiodon","species","124942","recombined as","Scapanorhynchus rhaphiodon","species","253538","Campanian","Maastrichtian","83.6","66","9577"
"375300","occ","","","35443","Anomotodon plicatus","species","154463","","Anomotodon plicatus","species","154463","Campanian","Maastrichtian","83.6","66","9577"
"375301","occ","","","35443","Cretolamna appendiculata","species","117677","","Cretolamna appendiculata","species","117676","Campanian","Maastrichtian","83.6","66","9577"
"375302","occ","","","35443","Cretolamna biauriculata","species","153960","","Cretolamna biauriculata","species","153959","Campanian","Maastrichtian","83.6","66","9577"
"375303","occ","","","35443","Cretolamna caraibaea","species","34608","species not entered","Cretolamna","genus","34608","Campanian","Maastrichtian","83.6","66","9577"
"375304","occ","","","35443","Heterodontus sp.","genus","34572","","Heterodontus","genus","34572","Campanian","Maastrichtian","83.6","66","9577"
"375305","occ","","","35443","Pteroscyllium informal sp. 1","species","34661","species not entered","Pteroscyllium","genus","34661","Campanian","Maastrichtian","83.6","66","9577"
"375306","occ","","","35443","Scyliorhinus sp.","genus","34663","","Scyliorhinus","genus","34663","Campanian","Maastrichtian","83.6","66","9577"
"375307","occ","","","35443","Triakidae informal indet. 1","species","83176","species not entered","Triakidae","family","83176","Campanian","Maastrichtian","83.6","66","9577"
"375308","occ","","","35443","Triakidae informal indet. 2","species","83176","species not entered","Triakidae","family","83176","Campanian","Maastrichtian","83.6","66","9577"
"375310","occ","","","35443","Sclerorhynchus sp.","genus","34712","","Sclerorhynchus","genus","34712","Campanian","Maastrichtian","83.6","66","9577"
"375311","occ","","","35443","Rhinobatos informal sp. 1","species","34708","species not entered","Rhinobatos","genus","34708","Campanian","Maastrichtian","83.6","66","9577"
"375312","occ","","","35443","Rhinobatos informal sp. 2","species","34708","species not entered","Rhinobatos","genus","34708","Campanian","Maastrichtian","83.6","66","9577"
