"Records:"
"accepted_name","accepted_rank"
"Batoidea","unranked clade"
"Elasmobranchii","subclass"
"Isurus","genus"
"Galeolamna","genus"
"Hemipristis serra","species"
"Galeocerdo","genus"
"Myliobatis","genus"
"Trygon sinhaleyus","species"
 species not entered","Chrysophris"
"Hybodontidae","family"
"Igdabatis indicus","species"
"Galeocerdo latidens","species"
"Dasyatidae","family"
"Hexanchus","genus"
"Carcharodon","genus"
"Isurus spallanzani","species"
"Alopias vulpinus","species"
"Galeocerdo latidens","species"
"Galeocerdo","genus"
"Galeocerdo","genus"
"Hemipristis","genus"
"Paragaleus","genus"
"Galeorhinus","genus"
"Selachii","unranked clade"
"Rhinobatos","genus"
"Dasyatis rafinesquei","species"
"Dasyatis vicaryi","species"
"Subathunura casieri","species"
"Myliobatis","genus"
"Galeocerdo latidens","species"
"Paraorthacodus conicus","species"
"Hexanchus","genus"
"Squatina hassei","species"
"Pristiophorus","genus"
"Squalus","genus"
"Centrosqualus","genus"
"Cretascymnus","genus"
"Cretascymnus","genus"
"Squalicorax pristodontus","species"
"Squalicorax","genus"
"Squalicorax","genus"
"Pseudocorax affinis","species"
"Scapanorhynchus rhaphiodon","species"
"Anomotodon plicatus","species"
"Cretolamna appendiculata","species"
"Cretolamna biauriculata","species"
"Cretolamna","genus"
"Heterodontus","genus"
"Pteroscyllium","genus"
"Scyliorhinus","genus"
"Triakidae","family"
"Triakidae","family"
"Sclerorhynchus","genus"
"Rhinobatos","genus"
"Rhinobatos","genus"
"Rhinobatoidei","suborder"
"Rhombodus binkhorsti","species"
"Paraorthacodus conicus","species"
"Hexanchus","genus"
"Squalicorax pristodontus","species"
"Squalicorax","genus"
"Squalicorax","genus"
"Pseudocorax affinis","species"
"Anomotodon plicatus","species"
"Cretolamna biauriculata","species"
"Ginglymostoma","genus"
"Rhinobatoidei","suborder"
"Hybodontidae","family"
"Scapanorhynchus texanus","species"
"Scapanorhynchus gigas","species"
"Cretolamna appendiculata","species"
"Squalicorax pristodontus","species"
"Ptychodus","genus"
"Pristidae","family"
"Lamniformes","order"
"Orectolobus","genus"
"Ginglymostoma","genus"
"Plicatoscyllium","genus"
"Scyliorhinidae","family"
"Rhinobatos","genus"
"Rhinobatoidei","suborder"
"Dasyatoidea","superfamily"
