"Isurus spallanzani","species","Ypresian"
"Alopias vulpinus","species","Ypresian"
"Galeocerdo latidens","species","Ypresian"
"Galeocerdo","genus","Ypresian"
"Galeocerdo","genus","Ypresian"
"Hemipristis","genus","Ypresian"
"Paragaleus","genus","Ypresian"
"Galeorhinus","genus","Ypresian"
"Selachii","unranked clade","Ypresian"
"Rhinobatos","genus","Ypresian"
"Dasyatis rafinesquei","species","Ypresian"
"Dasyatis vicaryi","species","Ypresian"
"Subathunura casieri","species","Ypresian"
"Myliobatis","genus","Ypresian"
"Galeocerdo latidens","species","Ypresian"
"Paraorthacodus conicus","species","Campanian"
"Hexanchus","genus","Campanian"
"Squatina hassei","species","Campanian"
"Pristiophorus","genus","Campanian"
"Squalus","genus","Campanian"
"Centrosqualus","genus","Campanian"
"Cretascymnus","genus","Campanian"
"Cretascymnus","genus","Campanian"
"Squalicorax pristodontus","species","Campanian"
"Squalicorax","genus","Campanian"
"Squalicorax","genus","Campanian"
"Pseudocorax affinis","species","Campanian"
"Scapanorhynchus rhaphiodon","species","Campanian"
"Anomotodon plicatus","species","Campanian"
"Cretolamna appendiculata","species","Campanian"
"Cretolamna biauriculata","species","Campanian"
"Cretolamna","genus","Campanian"
"Heterodontus","genus","Campanian"
"Pteroscyllium","genus","Campanian"
"Scyliorhinus","genus","Campanian"
"Triakidae","family","Campanian"
"Triakidae","family","Campanian"
"Sclerorhynchus","genus","Campanian"
"Rhinobatos","genus","Campanian"
"Rhinobatos","genus","Campanian"
"Rhinobatoidei","suborder","Campanian"
"Rhombodus binkhorsti","species","Campanian"
"Paraorthacodus conicus","species","Campanian"
"Hexanchus","genus","Campanian"
"Squalicorax pristodontus","species","Campanian"
"Squalicorax","genus","Campanian"
"Squalicorax","genus","Campanian"
"Pseudocorax affinis","species","Campanian"
"Anomotodon plicatus","species","Campanian"
"Cretolamna biauriculata","species","Campanian"
"Ginglymostoma","genus","Campanian"
"Rhinobatoidei","suborder","Campanian"
"Hybodontidae","family","Barremian"
"Scapanorhynchus texanus","species","Senonian"
"Scapanorhynchus gigas","species","Senonian"
"Cretolamna appendiculata","species","Senonian"
"Squalicorax pristodontus","species","Senonian"
"Ptychodus","genus","Senonian"
"Pristidae","family","Senonian"
"Lamniformes","order","Late Paleocene"
"Orectolobus","genus","Late Paleocene"
"Ginglymostoma","genus","Late Paleocene"
"Plicatoscyllium","genus","Late Paleocene"
"Scyliorhinidae","family","Late Paleocene"
"Rhinobatos","genus","Late Paleocene"
"Rhinobatoidei","suborder","Late Paleocene"
"Dasyatoidea","superfamily","Late Paleocene"
"Myliobatidae","family","Late Paleocene"
"Polyacrodus","genus","Callovian"
"Polyacrodus","genus","Callovian"
"Polyacrodus","genus","Callovian"
"Polyacrodus","genus","Callovian"
"Isurus","genus","Miocene"
"Glyphis","genus","Miocene"
"Galeocerdo","genus","Miocene"
"Hemipristis serra","species","Miocene"
"Myliobatis","genus","Miocene"
 species not entered","Aetobatus","34721"
"Lonchidion indicus","species","Toarcian"
"Lamna obliqua","species","Ypresian"
"Lamna","genus","Ypresian"
"Lamna","genus","Ypresian"
"Lamna","genus","Ypresian"
 recombined as","Isurus desorii","80594"
"Hemipristis serra","species","Ypresian"
"Galeocerdo latidens","species","Ypresian"
"Sphyrna prisca","species","Ypresian"
"Myliobatis","genus","Ypresian"
"Scoliodon","genus","Lutetian"
"Myliobatis","genus","Lutetian"
"Myliobatis","genus","Lutetian"
"Galeocerdo latidens","species","Middle Eocene"
"Rhinoptera","genus","Middle Eocene"
"Burnhamia","genus","Middle Eocene"
"Myliobatis","genus","Middle Eocene"
"Abdounia","genus","Middle Eocene"
"Physodon","genus","Middle Eocene"
"Aprionodon","genus","Middle Eocene"
"Carcharhinidae","family","Middle Eocene"
"Odontaspis","genus","Middle Eocene"
"Odontaspis","genus","Middle Eocene"
"Striatolamia macrota","species","Middle Eocene"
"Lamiostoma","genus","Middle Eocene"
"Rhinoptera","genus","Middle Eocene"
"Burnhamia","genus","Middle Eocene"
"Myliobatis","genus","Middle Eocene"
"Abdounia","genus","Middle Eocene"
"Physodon","genus","Middle Eocene"
"Aprionodon","genus","Middle Eocene"
"Galeorhinus","genus","Middle Eocene"
"Odontaspis","genus","Middle Eocene"
"Striatolamia macrota","species","Middle Eocene"
"Hypotodus","genus","Middle Eocene"
"Hypotodus","genus","Middle Eocene"
"Carcharodon auriculatus","species","Middle Eocene"
"Macrorhizodus","genus","Middle Eocene"
"Lamiostoma","genus","Middle Eocene"
"Sphyrna","genus","Middle Miocene"
"Sphyrna lewini","species","Middle Miocene"
"Scyliorhinus","genus","Middle Miocene"
"Scoliodon","genus","Middle Miocene"
"Rhizoprionodon","genus","Middle Miocene"
"Alopias","genus","Middle Miocene"
"Pristis aquitanicus","species","Middle Miocene"
"Carcharhinus","genus","Middle Miocene"
"Isurus","genus","Middle Miocene"
"Galeocerdo aduncus","species","Middle Miocene"
"Hypoprion","genus","Middle Miocene"
"Carcharodon hastalis","species","Middle Miocene"
"Isurus","genus","Middle Miocene"
"Pristis aquitanicus","species","Middle Miocene"
"Rhizoprionodon","genus","Middle Miocene"
"Scoliodon","genus","Middle Miocene"
"Scyliorhinus","genus","Middle Miocene"
"Sphyrna lewini","species","Middle Miocene"
"Sphyrna","genus","Middle Miocene"
"Carcharhinus","genus","Middle Miocene"
"Dasyatis","genus","Middle Miocene"
"Scoliodon","genus","Middle Miocene"
"Pristis aquitanicus","species","Middle Miocene"
"Hexanchus","genus","Middle Miocene"
"Carcharocles megalodon","species","Middle Miocene"
"Carchariolamna","genus","Middle Miocene"
"Isurus","genus","Middle Miocene"
"Carcharhinus egertoni","species","Middle Miocene"
"Carcharhinus","genus","Middle Miocene"
"Carcharhinus","genus","Middle Miocene"
"Galeocerdo aduncus","species","Middle Miocene"
"Galeorhinus","genus","Middle Miocene"
"Hypoprion","genus","Middle Miocene"
"Scoliodon","genus","Middle Miocene"
"Pristis aquitanicus","species","Middle Miocene"
"Dasyatis","genus","Middle Miocene"
"Rhinoptera raeburni","species","Middle Miocene"
"Aetobatis irregularis","species","Middle Miocene"
"Carcharhinus","genus","Middle Miocene"
"Hypoprion","genus","Middle Miocene"
"Scoliodon","genus","Middle Miocene"
"Sphyrna lewini","species","Middle Miocene"
"Pristis aquitanicus","species","Middle Miocene"
"Myliobatis","genus","Middle Miocene"
"Hemipristis serra","species","Early Miocene"
"Carcharhinus priscus","species","Early Miocene"
"Carcharhinus plumbeus","species","Early Miocene"
"Scoliodon","genus","Early Miocene"
"Negaprion eurybathrodon","species","Early Miocene"
"Sphyrna","genus","Early Miocene"
"Myliobatis","genus","Early Miocene"
"Aetobatus arcuatus","species","Early Miocene"
"Rhinoptera","genus","Early Miocene"
"Galeocerdo aduncus","species","Early Miocene"
"Elasmobranchii","subclass","Middle Jurassic"
"Palaeobates","genus","Oxfordian"
"Dasyatis","genus","Early Miocene"
"Hybodus","genus","Tithonian"
"Myliobatis","genus","Early Miocene"
"Ctenacanthus","genus","Changhsingian"
"Carcharodon hastalis","species","Calabrian"
"Carcharodon carcharias","species","Calabrian"
"Carchariolamna","genus","Burdigalian"
"Hypoprion","genus","Burdigalian"
"Lonchidion indicus","species","Sinemurian"
"Carcharodon hastalis","species","Late Miocene"
"Isurus","genus","Late Miocene"
"Isurus","genus","Late Miocene"
"Carcharhinus priscus","species","Late Miocene"
"Pristis","genus","Late Miocene"
"Carcharhinus","genus","Late Miocene"
"Galeocerdo aduncus","species","Late Miocene"
"Carcharodon hastalis","species","Late Miocene"
"Carcharhinus","genus","Late Miocene"
"Carcharhinus","genus","Early Miocene"
"Galeocerdo aduncus","species","Early Miocene"
"Isurus","genus","Late Miocene"
"Carcharhinus priscus","species","Late Miocene"
"Carcharocles megalodon","species","Late Miocene"
"Carcharodon hastalis","species","Late Miocene"
"Isurus","genus","Late Miocene"
"Carcharhinus","genus","Middle Miocene"
"Carcharhinus","genus","Late Miocene"
"Hexanchus","genus","Middle Miocene"
"Carcharhinus","genus","Middle Miocene"
"Odontaspis","genus","Middle Miocene"
"Carcharhinus","genus","Middle Miocene"
 obsolete variant of","Myliobatis","34741"
"Myliobatis","genus","Middle Miocene"
"Isurus","genus","Late Miocene"
"Isurus","genus","Late Miocene"
"Heteroptychodus","genus","Valanginian"
"Carcharodon","genus","Late Miocene"
"Isurus","genus","Late Miocene"
"Carcharhinus","genus","Late Miocene"
"Dalatias","genus","Late Miocene"
"Carcharocles megalodon","species","Langhian"
"Carcharodon hastalis","species","Langhian"
"Miosynechodus mora","species","Miocene"
"Isurus","genus","Miocene"
"Galeolamna","genus","Miocene"
"Galeolamna","genus","Miocene"
"Galeolamna","genus","Miocene"
"Hemipristis serra","species","Miocene"
"Galeocerdo","genus","Miocene"
"Trygon sinhaleyus","species","Miocene"
"Myliobatis","genus","Miocene"
 species not entered","Aetobatus","34721"
 species not entered","Chrysophris","68429"
"Odontaspis","genus","Zanclean"
"Isurus desori","species","Middle Miocene"
"Isurus","genus","Middle Miocene"
"Carcharocles megalodon","species","Middle Miocene"
"Dasyatidae","family","Maastrichtian"
"Glickmanodus rarus","species","Late Albian"
"Polyacrodus","genus","Late Albian"
"Polyacrodus","genus","Late Albian"
"Carcharocles megalodon","species","Serravallian"
"Myledaphus","genus","Early Turonian"
"Igdabatis","genus","Maastrichtian"
"Rhinoptera","genus","Maastrichtian"
"Hybodontidae","family","Callovian"
"Hybodus huangnidanensis","species","Oxfordian"
"Jiaodontus","genus","Oxfordian"
"Eostegostoma","genus","Late Santonian"
"Cantioscyllium","genus","Late Santonian"
"Scapanorhynchus texanus","species","Late Santonian"
"Cretolamna appendiculata","species","Late Santonian"
"Cretoxyrhina mantelli","species","Late Santonian"
"Squalicorax kaupi","species","Late Santonian"
"Rhynchobatus","genus","Late Santonian"
"Rhinobatos casieri","species","Late Santonian"
"Rhinobatos","genus","Late Santonian"
"Parapalaeobates pygmaeus","species","Late Santonian"
"Pseudohypolophus","genus","Late Santonian"
"Sclerorhynchus","genus","Late Santonian"
"Squalus","genus","Middle Eocene"
"Isistius","genus","Middle Eocene"
"Squatina prima","species","Middle Eocene"
"Heterodontus","genus","Middle Eocene"
"Palaeorhincodon","genus","Middle Eocene"
"Jaekelotodus","genus","Middle Eocene"
"Odontaspis winkleri","species","Middle Eocene"
"Striatolamia macrota","species","Middle Eocene"
"Carcharias","genus","Middle Eocene"
"Isurus praecursor","species","Middle Eocene"
"Notorhynchus","genus","Middle Eocene"
"Cretolamna","genus","Middle Eocene"
"Carcharocles","genus","Middle Eocene"
"Scyliorhinus","genus","Middle Eocene"
"Galeorhinus","genus","Middle Eocene"
"Abdounia","genus","Middle Eocene"
"Abdounia","genus","Middle Eocene"
"Abdounia","genus","Middle Eocene"
"Galeocerdo latidens","species","Middle Eocene"
"Physogaleus","genus","Middle Eocene"
"Rhizoprionodon","genus","Middle Eocene"
"Rhinobatos steurbauti","species","Middle Eocene"
"Dasyatis","genus","Middle Eocene"
"Hypolophodon","genus","Middle Eocene"
"Glikmania","genus","Middle Eocene"
"Pristis","genus","Middle Eocene"
"Anoxypristis","genus","Middle Eocene"
"Coupatezia woutersi","species","Middle Eocene"
"Aetobatis irregularis","species","Middle Eocene"
"Aktaua","genus","Middle Eocene"
"Myliobatis","genus","Middle Eocene"
"Rhinoptera","genus","Middle Eocene"
"Archaeomanta melenhorsti","species","Middle Eocene"
"Burnhamia daviesi","species","Middle Eocene"
"Hybodus","genus","Anisian"
"Hybodus","genus","Illyrian"
"Acrodus levis","species","Early Cenomanian"
"Hybodontoidea","superfamily","Early Cenomanian"
"Orectolobiformes","order","Maastrichtian"
"Cretolamna","genus","Maastrichtian"
"Dasyatidae","family","Maastrichtian"
"Rhombodus binkhorsti","species","Maastrichtian"
"Hemiscyllium","genus","Maastrichtian"
"Cretolamna","genus","Maastrichtian"
"Rhinobatos","genus","Maastrichtian"
"Dasyatidae","family","Maastrichtian"
"Plicatoscyllium","genus","Early Maastrichtian"
"Cretolamna biauriculata","species","Early Maastrichtian"
"Squalicorax","genus","Early Maastrichtian"
"Carcharias","genus","Early Maastrichtian"
"Lamniformes","order","Early Maastrichtian"
"Dalpiazia stromeri","species","Early Maastrichtian"
"Rhombodus binkhorsti","species","Early Maastrichtian"
"Dasyatidae","family","Early Maastrichtian"
"Hemiscyllium","genus","Early Maastrichtian"
"Plicatoscyllium","genus","Early Maastrichtian"
"Odontaspididae","family","Early Maastrichtian"
"Lamnidae","family","Early Maastrichtian"
"Cretolamna","genus","Early Maastrichtian"
"Squalicorax","genus","Early Maastrichtian"
"Rhinobatos","genus","Early Maastrichtian"
"Parapalaeobates","genus","Early Maastrichtian"
"Dalpiazia stromeri","species","Early Maastrichtian"
"Rhombodus binkhorsti","species","Early Maastrichtian"
"Dasyatoidea","superfamily","Early Maastrichtian"
"Plicatoscyllium","genus","Late Campanian"
"Pteroscyllium","genus","Late Campanian"
"Scyliorhinus","genus","Late Campanian"
"Youssoubatis","genus","Late Campanian"
"Hexanchus","genus","Early Eocene"
"Heptranchias","genus","Early Eocene"
"Mitsukurina","genus","Early Eocene"
"Weltonia","genus","Early Eocene"
"Pristiophorus","genus","Early Eocene"
"Odontaspididae","family","Early Eocene"
"Pseudocarcharias","genus","Early Eocene"
"Megascyliorhinus","genus","Early Eocene"
"Dasyatis","genus","Early Eocene"
"Hexanchus","genus","Priabonian"
"Heptranchias","genus","Priabonian"
"Centrophorus","genus","Priabonian"
"Pristiophorus","genus","Priabonian"
"Brachaelurus","genus","Priabonian"
"Pararhincodon","genus","Priabonian"
"Carcharias","genus","Priabonian"
"Isurus","genus","Priabonian"
"Carcharocles","genus","Priabonian"
"Alopias","genus","Priabonian"
"Xiphodolamia","genus","Priabonian"
"Scyliorhinus","genus","Priabonian"
"Physogaleus","genus","Priabonian"
"Galeocerdo","genus","Priabonian"
"Carcharhinus","genus","Priabonian"
"Rhizoprionodon","genus","Priabonian"
