"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Sirenia"
"Access Time","Fri 2017-02-03 23:50:23 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Sirenia"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0377"
"Records Found","796"
"Records Returned","796"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"70447","occ","12698","","5241","Pezosiren portelli","species","70770","","Pezosiren portelli","species","70770","Lutetian","","47.8","41.3","13399"
"148077","occ","29219","","13074","n. gen. Crenatosiren olseni","species","65045","","Crenatosiren olseni","species","65044","Chattian","","28.1","23.03","17344"
"148078","occ","","","13076","Dioplotherium manigaulti","species","53130","","Dioplotherium manigaulti","species","53130","Chattian","","28.1","23.03","4356"
"148361","occ","","","13101","Eosiren n. sp. imenti","species","53159","","Eosiren imenti","species","53159","Rupelian","","33.9","28.1","6023"
"150832","occ","","","13404","Metaxytherium calvertense","species","53158","subjective synonym of","Metaxytherium crataegense","species","71179","Early Miocene","Middle Miocene","23.03","11.608","6027"
"150857","occ","","","13450","Dusisiren n. sp. reinharti","species","53134","","Dusisiren reinharti","species","53134","Langhian","Serravallian","15.97","11.62","6029"
"150872","occ","13183","","13449","Metaxytherium sp.","genus","36890","","Metaxytherium","genus","36890","Miocene","","23.03","5.333","13722"
"150876","occ","","","13451","Hydrodamalis n. sp. cuestae","species","53135","","Hydrodamalis cuestae","species","53135","Piacenzian","","3.6","2.588","6029"
"175708","occ","","","16542","Sirenia indet.","order","36873","","Sirenia","order","36873","Late Uintan","","46.2","40.4","3615"
"187701","occ","","","18512","Dugongidae indet.","family","43286","","Dugongidae","family","43286","Late Hemingfordian","","20.43","15.97","2614"
"199845","occ","","","20636","Trichechus manatus","species","53129","","Trichechus manatus","species","53129","Late Pleistocene","","0.126","0.0117","3567"
"200023","occ","","","20653","Trichechus manatus","species","53129","","Trichechus manatus","species","53129","Late Pleistocene","","0.126","0.0117","3567"
"220172","occ","","","22712","Dugongidae indet.","family","43286","","Dugongidae","family","43286","Piacenzian","","3.6","2.588","5666"
"289572","occ","","","18538","""Hesperosiren"" crataegensis","species","71179","recombined as","Metaxytherium crataegense","species","71179","Early Barstovian","","15.97","13.6","1145"
"289580","occ","","","18549","""Hesperosiren"" crataegensis","species","71179","recombined as","Metaxytherium crataegense","species","71179","Early Barstovian","","15.97","13.6","1145"
"289582","occ","","","18524","""Hesperosiren"" crataegensis","species","71179","recombined as","Metaxytherium crataegense","species","71179","Early Barstovian","","15.97","13.6","1145"
"297810","occ","","","13073","Prototherium intermedium","species","53108","","Prototherium intermedium","species","53108","Late Eocene","","37.2","33.9","4355"
"300811","occ","","","28979","Protosiren n. sp. sattaensis","species","53313","","Protosiren sattaensis","species","53313","Bartonian","","41.3","38","8327"
"348017","occ","","","32898","Sirenia indet.","order","36873","","Sirenia","order","36873","Middle Eocene","","48.6","37.2","12993"
"372679","occ","","","35277","Sirenia indet.","order","36873","","Sirenia","order","36873","Late Miocene","","11.608","5.333","9487"
"379983","occ","","","35969","Halitherium schinzi","species","86754","misspelling of, nomen dubium","Dugongidae","family","43286","Rupelian","","33.9","28.1","9663"
"380024","occ","","","35970","Halitherium sp.","genus","36883","nomen dubium","Dugongidae","family","43286","Rupelian","","33.9","28.1","9663"
"380060","occ","","","35971","Halitherium sp.","genus","36883","nomen dubium","Dugongidae","family","43286","Rupelian","","33.9","28.1","9663"
"384534","occ","","","13077","Dioplotherium manigaulti","species","53130","","Dioplotherium manigaulti","species","53130","Langhian","","15.97","13.82","4356"
"384840","occ","","","36633","Halitherium ? sp.","genus","36883","nomen dubium","Dugongidae","family","43286","Burdigalian","","20.44","15.97","9820"
"417662","occ","","","40508","Caribosiren turneri","species","64983","","Caribosiren turneri","species","64983","Late Oligocene","","28.4","23.03","10903"
"417684","occ","13271","","40514","Dusisiren jordani","species","53132","","Dusisiren jordani","species","65042","Tortonian","","11.62","7.246","6029"
"417700","occ","","","40516","Eotheroides sp.","genus","43287","","Eotheroides","genus","43287","Late Eocene","","37.2","33.9","10903"
"460987","occ","","","18579","Dugongidae indet.","family","43286","","Dugongidae","family","43286","Early Hemingfordian","","20.43","15.97","11874"
"461079","occ","","","45479","Metaxytherium n. sp. floridanum","species","65029","","Metaxytherium floridanum","species","65029","Serravallian","","13.82","11.62","18771"
"462067","occ","18136","","45590","Protosiren sp.","genus","36896","","Protosiren","genus","36896","Lutetian","","47.8","41.3","17794"
"464097","occ","","","45834","Dugongidae indet.","family","43286","","Dugongidae","family","43286","Chattian","","28.1","23.03","12179"
"465481","occ","","","46069","Metaxytherium sp.","genus","36890","","Metaxytherium","genus","36890","Serravallian","","13.82","11.62","12283"
"465485","occ","13272","","46070","Dusisiren jordani","species","53132","","Dusisiren jordani","species","65042","Tortonian","","11.62","7.246","6029"
"465639","occ","","","46094","Halitherium sp.","genus","36883","nomen dubium","Dugongidae","family","43286","Rupelian","","33.9","28.1","12298"
"465642","occ","","","46096","Halitherium schinzi","species","86754","misspelling of, nomen dubium","Dugongidae","family","43286","Rupelian","","33.9","28.1","30916"
"465643","occ","","","46097","Halitherium sp.","genus","36883","nomen dubium","Dugongidae","family","43286","MP 22","","33.9","28.4","12298"
"465644","occ","","","46098","Halitherium sp.","genus","36883","nomen dubium","Dugongidae","family","43286","Rupelian","","33.9","28.1","12298"
"465647","occ","","","46100","Halitherium sp.","genus","36883","nomen dubium","Dugongidae","family","43286","Rupelian","","33.9","28.1","12298"
"465651","occ","","","37598","n. gen. Anomotherium n. sp. langewieschei","species","64969","","Anomotherium langewieschei","species","64969","Chattian","","28.1","23.03","18813"
"465653","occ","","","46102","Halitherium sp.","genus","36883","nomen dubium","Dugongidae","family","43286","Chattian","","28.1","23.03","12298"
