      5 "Rancholabrean","0.3","0.012"
     45 "Late Pleistocene","0.126","0.0117"
     18 "Irvingtonian","1.8","0.3"
      9 "Calabrian","1.806","0.781"
      5 "Pleistocene","2.588","0"
      7 "Pleistocene","2.588","0.0117"
     14 "Early Pleistocene","2.588","0.781"
      7 "Gelasian","2.588","1.806"
      1 "Late Pliocene","3.6","0.781"
      3 "Piacenzian","3.6","1.806"
     26 "Late Pliocene","3.6","2.588"
     17 "Piacenzian","3.6","2.588"
      4 "Waipipian","3.6","3"
      1 "Opoitian","5.333","0.34"
      5 "Early Pliocene","5.333","2.588"
    113 "Pliocene","5.333","2.588"
     13 "Zanclean","5.333","2.588"
     17 "Early Pliocene","5.333","3.6"
      1 "Opoitian","5.333","3.6"
    135 "Zanclean","5.333","3.6"
      1 "Kapitean","6.5","5.333"
      5 "Messinian","7.246","3.6"
     50 "MN 13","7.246","4.9"
     77 "Messinian","7.246","5.333"
     19 "Hemphillian","10.3","4.9"
      2 "Late Hemphillian","10.3","4.9"
      3 "MN 9","11.1","9.7"
      1 "Tortonian","11.62","5.333"
    214 "Tortonian","11.62","7.246"
      3 "Late Miocene","11.608","2.588"
     10 "Late Miocene","11.608","3.6"
    242 "Late Miocene","11.608","5.333"
      1 "Tongaporutuan","11.608","6.5"
      1 "Waiauan","12.7","11.608"
      1 "Clarendonian","13.6","10.3"
     38 "Early Clarendonian","13.6","10.3"
     12 "Late Clarendonian","13.6","10.3"
     63 "Badenian","13.65","12.7"
     17 "Serravallian","13.82","7.246"
    203 "Serravallian","13.82","11.62"
      3 "Middle Miocene","15.97","2.588"
      7 "Middle Miocene","15.97","3.6"
      1 "Barstovian","15.97","4.9"
     19 "Langhian","15.97","11.62"
    216 "Middle Miocene","15.97","11.608"
     14 "Barstovian","15.97","13.6"
     16 "MN 5","15.97","13.65"
    269 "Langhian","15.97","13.82"
     11 "MN 4","16.9","15.97"
     15 "Early Hemingfordian","20.43","15.97"
      3 "Hemingfordian","20.43","15.97"
      9 "Burdigalian","20.44","13.82"
    162 "Burdigalian","20.44","15.97"
      1 "Otaian","21.7","19"
     10 "Miocene","23.03","2.588"
     27 "Neogene","23.03","2.588"
     83 "Miocene","23.03","5.333"
     39 "Early Miocene","23.03","11.608"
    230 "Early Miocene","23.03","15.97"
     88 "Aquitanian","23.03","20.44"
      1 "MN 1","23.03","22.4"
      1 "Duntroonian","27.3","25.2"
     86 "Chattian","28.1","23.03"
      3 "Late Oligocene","28.4","15.97"
     14 "Late Oligocene","28.4","23.03"
      9 "Whitneyan","33.3","30.8"
     11 "Oligocene","33.9","5.333"
      4 "Oligocene","33.9","23.03"
     67 "Rupelian","33.9","28.1"
     53 "Early Oligocene","33.9","28.4"
      2 "MP 22","33.9","28.4"
      1 "Late Eocene","37.2","28.4"
     97 "Late Eocene","37.2","33.9"
    256 "Priabonian","38","33.9"
      4 "Bartonian","41.3","33.9"
     80 "Bartonian","41.3","38"
      3 "Bortonian","43","36"
     10 "Late Uintan","46.2","40.4"
     40 "Lutetian","47.8","38"
    336 "Lutetian","47.8","41.3"
     13 "Middle Eocene","48.6","33.9"
     72 "Middle Eocene","48.6","37.2"
      1 "Middle Eocene","48.6","41.3"
     13 "Bridgerian","50.3","46.2"
     60 "Early Eocene","55.8","37.2"
      2 "Casamayoran","55.8","48"
     54 "Early Eocene","55.8","48.6"
      1 "MP 10","55.8","48.6"
     42 "Wasatchian","55.8","50.3"
      5 "Waipawan","55.8","53"
     44 "Eocene","56","33.9"
      2 "Ypresian","56","33.9"
     10 "Ypresian","56","41.3"
     75 "Ypresian","56","47.8"
     11 "Clarkforkian","56.8","55.8"
     14 "Late Paleocene","58.7","48.6"
     48 "Late Paleocene","58.7","55.8"
      1 "Thanetian","59.2","47.8"
     44 "Thanetian","59.2","56"
     10 "Selandian","61.6","56"
      9 "Selandian","61.6","59.2"
      4 "Tertiary","66","2.588"
      1 "Paleogene","66","23.03"
     36 "Teurian","66","55.8"
     42 "Paleocene","66","56"
     39 "Danian","66","61.6"
     10 "Early Paleocene","66","61.7"
      7 "Late Maastrichtian","70.6","61.7"
     45 "Early Maastrichtian","70.6","66"
      3 "Edmontonian","70.6","66"
     80 "Lancian","70.6","66"
     55 "Late Maastrichtian","70.6","66"
      2 "Maastrichtian","72.1","61.6"
    110 "Maastrichtian","72.1","66"
      1 "Early Campanian","83.5","66"
      1 "Haumurian","83.5","66"
     80 "Late Campanian","83.5","66"
      1 "Middle Campanian","83.5","66"
     82 "Early Campanian","83.5","70.6"
     17 "Judithian","83.5","70.6"
    254 "Late Campanian","83.5","70.6"
     81 "Middle Campanian","83.5","70.6"
     30 "Campanian","83.6","66"
    164 "Campanian","83.6","72.1"
      2 "Piripauan","85.8","66"
     11 "Late Santonian","85.8","70.6"
     10 "Early Santonian","85.8","83.5"
      9 "Late Santonian","85.8","83.5"
      4 "Middle Santonian","85.8","83.5"
      1 "Santonian","86.3","66"
     28 "Santonian","86.3","83.6"
      3 "Senonian","89.3","66"
      3 "Late Coniacian","89.3","70.6"
      3 "Late Coniacian","89.3","85.8"
      3 "Coniacian","89.8","86.3"
      6 "Late Turonian","93.5","83.5"
     11 "Early Turonian","93.5","89.3"
      4 "Late Turonian","93.5","89.3"
      8 "Middle Turonian","93.5","89.3"
      1 "Turonian","93.9","86.3"
     18 "Turonian","93.9","89.8"
     26 "Early Cenomanian","99.6","93.5"
     25 "Late Cenomanian","99.6","93.5"
     55 "Middle Cenomanian","99.6","93.5"
     37 "Late Cretaceous","100.5","66"
     26 "Cenomanian","100.5","93.9"
     21 "Late Albian","105.3","93.5"
      4 "Late Albian","105.3","93.9"
      6 "Late Albian","105.3","99.6"
      7 "Early Albian","112.03","109"
      1 "Albian","113","66"
      8 "Albian","113","89.8"
      1 "Albian","113","93.9"
     38 "Albian","113","100.5"
      3 "Late Aptian","122.46","112.03"
      2 "Aptian","125","113"
      2 "Early Aptian","125.45","122.46"
      1 "Barremian","129.4","125"
      2 "Late Barremian","130","122.46"
      3 "Early Barremian","130","125.45"
     11 "Hauterivian","132.9","129.4"
      4 "Early Hauterivian","136.4","130"
      6 "Valanginian","139.8","132.9"
      1 "Cretaceous","145","56"
      6 "Cretaceous","145","66"
      1 "Early Cretaceous","145","66"
      3 "Early Cretaceous","145","100.5"
      1 "Berriasian","145","139.8"
      2 "Late Tithonian","150.8","140.2"
      3 "Early Tithonian","150.8","145"
     10 "Late Kimmeridgian","155.7","145"
      6 "Late Kimmeridgian","155.7","150.8"
     23 "Kimmeridgian","157.3","152.1"
      9 "Late Oxfordian","161.2","155.7"
      1 "Oxfordian","163.5","157.3"
      9 "Late Callovian","164.7","161.2"
      4 "Middle Callovian","164.7","161.2"
      3 "Callovian","166.1","163.5"
      1 "Late Bathonian","167.7","164.7"
      4 "Middle Bathonian","167.7","164.7"
     18 "Bathonian","168.3","166.1"
      1 "Bajocian","170.3","168.3"
      1 "Laeviuscula","171.6","167.7"
      1 "Late Bajocian","171.6","167.7"
      4 "Humphresianum","171.6","168.4"
      4 "Aalenian","174.1","170.3"
      1 "Late Aalenian","175.6","168.4"
      6 "Late Aalenian","175.6","171.6"
      9 "Thouarsense","180.1","175.6"
      2 "Bifrons","182","175.6"
      4 "Variabilis","182","175.6"
      7 "Toarcian","182.7","174.1"
      1 "Early Toarcian","183","182"
      1 "Late Pliensbachian","189.6","183"
      1 "Margaritatus","189.6","183"
      1 "Spinatum","189.6","183"
      1 "Pliensbachian","190.8","182.7"
     10 "Rhaetian","208.5","201.3"
      1 "Lacian","221.5","215.56"
      1 "Carnian","237","228"
      1 "Fassanian","242","235"
      1 "Aegean","247.2","242"
      1 "Bithynian","247.2","242"
      1 "Late Urzhumian","268","252.3"
      1 "Wordian","268.8","265.1"
      1 "Virgilian","303.4","298.9"
      4 "Gzhelian","303.7","298.9"
     14 "Kasimovian","307","303.7"
      1 "Desmoinesian","313.8","305.9"
      2 "Emsian","407.6","393.3"
      3 "Early Devonian","419.2","393.3"
      1 "Lochkovian","419.2","407.6"
      3 "Lochkovian","419.2","410.8"
      2 "Ohesaare","423","419.2"
      5 "Pridoli","423","419.2"
      1 "Ludfordian","425.6","423"
      1 "Arenig","478.6","466"
      1 "Cassinian","478.6","468.1"
      9 "Blackhillsian","478.6","471.8"
      2 "Canadian","485.4","468.1"
      5 "Tulean","485.4","471.8"
      1 "early_interval","max_ma","min_ma"
