"accepted_name","accepted_rank","lng","lat"
"Cretolamna appendiculata","species","6.516667","46.833332"
"Lamna (Odontaspis) gracilis","species","6.516667","46.833332"
"Lamna (Odontaspis) gracilis","species","6.583333","47.049999"
"Lamna (Odontaspis) gracilis","species","6.516667","46.833332"
"Lamna (Odontaspis) gracilis","species","6.516667","46.833332"
"Odontaspis","genus","6.516667","46.833332"
"Odontaspis","genus","6.516667","46.833332"
"Lamna (Odontaspis) gracilis","species","6.300000","46.716667"
"Squalicorax falcatus","species","6.516667","46.833332"
"Lamna (Odontaspis) gracilis","species","6.516667","46.833332"
"Lamna (Odontaspis) gracilis","species","7.083333","47.049999"
"Lamna (Odontaspis) gracilis","species","7.083333","47.016666"
"Hexanchus","genus","-74.683334","39.971943"
"Hexanchus","genus","-74.683334","39.971943"
"Isurus","genus","-74.683334","39.971943"
"Carcharodon hastalis","species","-74.683334","39.971943"
"Lamna","genus","-74.683334","39.971943"
"Myliobatis jugosus","species","-74.683334","39.971943"
"Myliobatis magister","species","-74.683334","39.971943"
"Myliobatis","genus","-74.683334","39.971943"
"Odontaspis","genus","-74.683334","39.971943"
"Rhinoptera","genus","-74.683334","39.971943"
"Squatina","genus","-74.683334","39.971943"
"Scyliorhinus","genus","-74.683334","39.971943"
"Striatolamia","genus","-74.683334","39.971943"
"Squalicorax pristodontus","species","5.783333","50.866669"
"Hexanchus","genus","0.833333","51.400002"
"Notidanus serratissimus","species","0.833333","51.400002"
"Squalus minor","species","0.833333","51.400002"
"Isurolamna","genus","0.833333","51.400002"
"Lamna","genus","0.833333","51.400002"
 species not entered","Carcharias","151","0.833333"
 species not entered","Carcharias","151","0.833333"
"Odontaspis winkleri","species","0.833333","51.400002"
"Abdounia","genus","0.833333","51.400002"
"Scyliorhinus","genus","0.833333","51.400002"
"Physogaleus","genus","0.833333","51.400002"
"Galeorhinus","genus","0.833333","51.400002"
"Galeorhinus","genus","0.833333","51.400002"
"Squatina prima","species","0.833333","51.400002"
"Myliobatis","genus","-1.316667","51.016666"
"Abdounia","genus","-1.316667","51.016666"
"Squalus minor","species","-1.166667","51.083332"
"Nebrius","genus","-1.166667","51.083332"
"Hemiscyllium","genus","-1.166667","51.083332"
"Palaeorhincodon","genus","-1.166667","51.083332"
"Abdounia","genus","-1.166667","51.083332"
"Eostegostoma","genus","-1.166667","51.083332"
"Scyliorhinus","genus","-1.166667","51.083332"
"Mustelus","genus","-1.166667","51.083332"
"Abdounia","genus","-1.166667","51.083332"
"Isurus","genus","-1.166667","51.083332"
"Lamna","genus","-1.166667","51.083332"
"Striatolamia macrota","species","-1.166667","51.083332"
"Carcharias","genus","-1.166667","51.083332"
"Carcharias acutissima","species","-1.166667","51.083332"
"Carcharhinidae","family","-1.166667","51.083332"
"Physogaleus","genus","-1.166667","51.083332"
"Galeocerdo latidens","species","-1.166667","51.083332"
"Galeorhinus","genus","-1.166667","51.083332"
"Squatina prima","species","-1.166667","51.083332"
"Abdounia","genus","-1.166667","51.083332"
"Trygon jaekeli","species","-1.166667","51.083332"
"Aetobatus","genus","-1.166667","51.083332"
"Myliobatis","genus","-1.166667","51.083332"
"Squalus minor","species","-1.166667","51.083332"
"Abdounia","genus","-1.166667","51.083332"
"Abdounia","genus","-1.166667","51.083332"
"Scyliorhinus","genus","-1.166667","51.083332"
"Scyliorhinus","genus","-1.166667","51.083332"
"Isurus","genus","-1.166667","51.083332"
"Striatolamia macrota","species","-1.166667","51.083332"
"Carcharias","genus","-1.166667","51.083332"
"Physogaleus","genus","-1.166667","51.083332"
"Scoliodon","genus","-1.166667","51.083332"
"Galeorhinus","genus","-1.166667","51.083332"
"Trygon jaekeli","species","-1.166667","51.083332"
"Myliobatis","genus","-1.166667","51.083332"
"Squalus minor","species","-1.166667","51.083332"
"Nebrius","genus","-1.166667","51.083332"
"Hemiscyllium","genus","-1.166667","51.083332"
"Palaeorhincodon","genus","-1.166667","51.083332"
"Abdounia","genus","-1.166667","51.083332"
"Scyliorhinus","genus","-1.166667","51.083332"
"Scyliorhinus","genus","-1.166667","51.083332"
"Mustelus","genus","-1.166667","51.083332"
"Triakis","genus","-1.166667","51.083332"
"Isurus","genus","-1.166667","51.083332"
"Lamna","genus","-1.166667","51.083332"
"Striatolamia macrota","species","-1.166667","51.083332"
"Carcharias","genus","-1.166667","51.083332"
"Carcharias acutissima","species","-1.166667","51.083332"
"Carcharhinidae","family","-1.166667","51.083332"
"Physogaleus","genus","-1.166667","51.083332"
"Galeocerdo latidens","species","-1.166667","51.083332"
"Galeorhinus","genus","-1.166667","51.083332"
"Squatina prima","species","-1.166667","51.083332"
"Trygon jaekeli","species","-1.166667","51.083332"
"Aetobatus","genus","-1.166667","51.083332"
"Myliobatis","genus","-1.166667","51.083332"
"Abdounia","genus","-1.166667","51.083332"
"Scoliodon","genus","-1.166667","51.083332"
"Squalicorax kaupi","species","31.250000","30.049999"
"Squalicorax pristodontus","species","31.250000","30.049999"
"Cretolamna appendiculata","species","31.250000","30.049999"
"Odontaspididae","family","-176.000000","-44.333332"
"Striatolamia macrota","species","-81.760559","33.143333"
"Carcharhinus macloti","species","-81.760559","33.143333"
"Triaenodon","genus","-81.760559","33.143333"
"Myliobatidae","family","-81.760559","33.143333"
"Isurus","genus","-123.597221","47.327778"
"Cretolamna","genus","-107.925835","38.901669"
"Squalicorax pristodontus","species","-107.925835","38.901669"
"Odontaspis","genus","-96.692780","30.531111"
"Odontaspis","genus","-96.692780","30.531111"
"Onchus","genus","-2.633333","52.483334"
"Cretolamna","genus","9.000000","52.000000"
"Cretolamna","genus","9.000000","52.000000"
"Cretolamna","genus","9.000000","52.000000"
"Cretolamna","genus","9.000000","52.000000"
"Myledaphus bipartitus","species","-106.099998","47.799999"
"Carcharocles","genus","-86.519997","31.366667"
"Odontaspis","genus","-86.519997","31.366667"
"Striatolamia macrota","species","-86.519997","31.366667"
 species not entered","Carcharias","688","-86.519997"
"Lamna","genus","-86.519997","31.366667"
"Abdounia","genus","-86.519997","31.366667"
"Galeorhinus recticonus","species","-86.519997","31.366667"
"Physodon","genus","-86.519997","31.366667"
"Nebrius","genus","-86.519997","31.366667"
"Pristis lathami","species","-86.519997","31.366667"
"Burnhamia","genus","-86.519997","31.366667"
"Aetobatus","genus","-86.519997","31.366667"
