"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"28198","occ","","","2166","Otodus appendiculatus","species","117676","recombined as","Cretolamna appendiculata","species","117676","Albian","","113","100.5","66","6.516667","46.833332","FR","","","","minutes","","lat/long for Ste. Croix"
"28246","occ","","","2167","Odontaspis gracilis","species","210132","obsolete variant of","Lamna (Odontaspis) gracilis","species","210132","Albian","","113","100.5","66","6.516667","46.833332","CH","","","","minutes","","lat/long for Ste. Croix"
"28326","occ","","","2168","Odontaspis gracilis","species","210132","obsolete variant of","Lamna (Odontaspis) gracilis","species","210132","Albian","","113","100.5","66","6.583333","47.049999","FR","","","","minutes","","lat/long for Morteau"
"28409","occ","","","2175","Odontaspis gracilis","species","210132","obsolete variant of","Lamna (Odontaspis) gracilis","species","210132","Early Aptian","","125.45","122.46","66","6.516667","46.833332","CH","","","","minutes","","lat/long for Ste. Croix"
"29078","occ","","","2198","Odontaspis gracilis","species","210132","obsolete variant of","Lamna (Odontaspis) gracilis","species","210132","Hauterivian","","132.9","129.4","66","6.516667","46.833332","CH","","","","minutes","","lat/long for Ste. Croix"
"29079","occ","","","2198","Odontaspis studeri","species","34620","species not entered","Odontaspis","genus","34620","Hauterivian","","132.9","129.4","66","6.516667","46.833332","CH","","","","minutes","","lat/long for Ste. Croix"
"30263","occ","","","2225","Odontaspis studeri","species","34620","species not entered","Odontaspis","genus","34620","Valanginian","","139.8","132.9","66","6.516667","46.833332","CH","","","","minutes","","lat/long for Ste. Croix"
"30570","occ","","","2232","Odontaspis gracilis","species","210132","obsolete variant of","Lamna (Odontaspis) gracilis","species","210132","Early Aptian","","125.45","122.46","66","6.300000","46.716667","CH","","","","minutes","","lat/long for Vallorbes; locality listed in text as Presta, which is in the vicinity of Vallorbes and Ste. Croix (46 50'N, 06 31'E)"
"30692","occ","","","2237","Corax falcatus","species","125016","recombined as","Squalicorax falcatus","species","125016","Albian","","113","100.5","66","6.516667","46.833332","CH","","","","minutes","","lat/long for Ste. Croix"
"30695","occ","","","2237","Odontaspis gracilis","species","210132","obsolete variant of","Lamna (Odontaspis) gracilis","species","210132","Albian","","113","100.5","66","6.516667","46.833332","CH","","","","minutes","","lat/long for Ste. Croix"
"31169","occ","","","2256","Odontaspis gracilis","species","210132","obsolete variant of","Lamna (Odontaspis) gracilis","species","210132","Hauterivian","","132.9","129.4","68","7.083333","47.049999","CH","","","","minutes","small collection","lat/long for Landeron; locality listed in text as:  Alter Steinbruch an der Strasse Le Laneron-Combes, N Le Landeron, LK-Blatt 1145, Koord. 571.380/212.230"
"31254","occ","","","2259","Odontaspis gracilis","species","210132","obsolete variant of","Lamna (Odontaspis) gracilis","species","210132","Hauterivian","","132.9","129.4","68","7.083333","47.016666","CH","","","","minutes","small collection","lat/long for Landeron; locality listed in text as:  Alter Steinbruch an der Strasse Le Landeron-Combes, N Le Landeron, LK-Blatt 1145, Koord. 571.140/212.230"
"40139","occ","","","3113","Hexanchus ensis","species","34526","species not entered","Hexanchus","genus","34526","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40140","occ","","","3113","Hexanchus primigenius","species","34526","species not entered","Hexanchus","genus","34526","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40142","occ","","","3113","Isurus acuminatus","species","34613","species not entered","Isurus","genus","34613","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40144","occ","","","3113","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40145","occ","","","3113","Lamna sp.","genus","34615","","Lamna","genus","34615","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40146","occ","","","3113","Myliobatis jugosus","species","132642","","Myliobatis jugosus","species","132641","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40147","occ","","","3113","Myliobatis magister","species","132698","","Myliobatis magister","species","132697","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40148","occ","","","3113","Myliobatis obesus","species","34741","species not entered","Myliobatis","genus","34741","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40149","occ","","","3113","Odontaspis sp.","genus","34620","","Odontaspis","genus","34620","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40151","occ","","","3113","Rhinoptera ? sp.","genus","34745","","Rhinoptera","genus","34745","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40153","occ","","","3113","Squatina sp.","genus","34570","","Squatina","genus","34570","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40154","occ","","","3113","Scyliorhinus sp.","genus","34663","","Scyliorhinus","genus","34663","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
