"Cretolamna appendiculata","species","113","100.5","66"
"Lamna (Odontaspis) gracilis","species","113","100.5","66"
"Lamna (Odontaspis) gracilis","species","113","100.5","66"
"Lamna (Odontaspis) gracilis","species","125.45","122.46","66"
"Lamna (Odontaspis) gracilis","species","132.9","129.4","66"
"Lamna (Odontaspis) gracilis","species","125.45","122.46","66"
"Squalicorax falcatus","species","113","100.5","66"
"Lamna (Odontaspis) gracilis","species","113","100.5","66"
"Lamna (Odontaspis) gracilis","species","132.9","129.4","68"
"Lamna (Odontaspis) gracilis","species","132.9","129.4","68"
"Carcharodon hastalis","species","59.2","56","140"
"Myliobatis jugosus","species","59.2","56","140"
"Myliobatis magister","species","59.2","56","140"
"Squalicorax pristodontus","species","70.6","66","143"
"Notidanus serratissimus","species","55.8","48.6","151"
"Squalus minor","species","55.8","48.6","151"
"Odontaspis winkleri","species","55.8","48.6","151"
"Squatina prima","species","55.8","48.6","151"
"Squalus minor","species","55.8","37.2","149"
"Striatolamia macrota","species","55.8","37.2","149"
"Carcharias acutissima","species","55.8","37.2","149"
"Galeocerdo latidens","species","55.8","37.2","149"
"Squatina prima","species","55.8","37.2","149"
"Trygon jaekeli","species","55.8","37.2","149"
"Squalus minor","species","55.8","37.2","149"
"Striatolamia macrota","species","55.8","37.2","149"
"Trygon jaekeli","species","55.8","37.2","149"
"Squalus minor","species","55.8","37.2","149"
"Striatolamia macrota","species","55.8","37.2","149"
"Carcharias acutissima","species","55.8","37.2","149"
"Galeocerdo latidens","species","55.8","37.2","149"
"Squatina prima","species","55.8","37.2","149"
"Trygon jaekeli","species","55.8","37.2","149"
"Squalicorax kaupi","species","83.5","70.6","215"
"Squalicorax pristodontus","species","83.5","70.6","215"
"Cretolamna appendiculata","species","83.5","70.6","215"
"Striatolamia macrota","species","47.8","41.3","289"
"Carcharhinus macloti","species","47.8","41.3","289"
"Squalicorax pristodontus","species","83.5","70.6","338"
"Myledaphus bipartitus","species","72.1","66","4381"
"Striatolamia macrota","species","50.3","46.2","688"
"Galeorhinus recticonus","species","50.3","46.2","688"
"Pristis lathami","species","50.3","46.2","688"
"Hemipristis serra","species","23.03","5.333","6063"
"Trygon sinhaleyus","species","23.03","5.333","6063"
"Onchus tenuistriatus","species","423","419.2","6155"
"Onchus tenuistriatus","species","423","419.2","6155"
"Onchus tenuistriatus","species","423","419.2","6155"
"Onchus murchisoni","species","423","419.2","6155"
"Carcharocles megalodon","species","11.608","5.333","5419"
