Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
60163,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,annulatus,"(Müller & Henle, 1841)",,,,,Rhinobatos annulatus,"Lesser Guitarfish, Lesser Sandshark",Poison-guitare,Guitarra Del Cabo,LC,,3.1,2016,unknown,N
60164,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,blochii,"(Müller & Henle, 1841)",,,,,Rhinobatos blochii,"Bluntnose Guitarfish, Fiddlefish",,,LC,,3.1,2016,unknown,N
161555,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,leucospilus,"(Norman, 1926)",,,,,Rhinobatos leucospilus,,,,DD,,3.1,2016,unknown,N
161697,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,ocellatus,"(Norman, 1926)",,,,,Rhinobatos ocellatus,Speckled Guitarfish,,,DD,,3.1,2016,unknown,N
60172,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,salalah,"(Randall & Compagno, 1995)",,,,,Rhinobatos salalah,Salalah Guitarfish,,,DD,,3.1,2016,unknown,N
161476,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,variegatus,"(Nair & Lal Mohan, 1973)",,,,,Rhinobatos variegatus,Stripenose Guitarfish,,,DD,,3.1,2016,unknown,N
60176,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,zanzibarensis,"(Norman, 1926)",,,,,Rhinobatos zanzibarensis,Zanzibar Guitarfish,,,NT,,3.1,2016,unknown,N
44653,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Aculeola,nigra,"de Buen, 1959",,,,,"",Hooktooth Dogfish,,"Tollo Negro, Tollo Negro De Cachos",DD,,3.1,2004,unknown,N
60119,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,AETOBATIDAE,Aetobatus,flagellum,"(Bloch & Schneider, 1801)",,,,,Raja flagellum  ,Longheaded Eagle Ray,,,EN,A2d+3d+4d,3.1,2006,decreasing,N
39415,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,AETOBATIDAE,Aetobatus,narinari,"(Euphrasen, 1790)",,,,,Raja narinari  ,"Spotted Eagle Ray, Maylan, Bonnetray",,,NT,,3.1,2006,decreasing,N
42566169,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,AETOBATIDAE,Aetobatus,ocellatus,"(Kuhl, 1823)",,,,,Aetobatus guttatus|Myliobatus ocellatus,Ocellated Eagle Ray,,,VU,A2bd,3.1,2016,decreasing,N
161396,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,asperrimus,"(Gilbert, 1898)",,,,,Myliobatis geasperrimus  |Pteromylaeus asperrimus,Roughskin Bullray,,,DD,,3.1,2016,unknown,N
60127,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,bovinus,"(Geoffroy Saint-Hilaire, 1817)",,,,,Myliobatis bovina|Pteromylaeus bovina|Pteromylaeus bovinus,"Bullray, Duckbill",,,DD,,3.1,2016,unknown,N
84785231,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,caeruleofasciatus,"White, Last & Baje, 2015",,,,,"",Blue-banded Eagle Ray,,,LC,,3.1,2016,unknown,N
60120,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,maculatus,"(Gray, 1834)",,,,,Aetomylaeus milvus  |Myliobatus maculatus  ,Mottled Eagle Ray,,,EN,A2d+3d+4d,3.1,2006,decreasing,N
84784918,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,nichofii,"(Bloch & Schneider, 1801)",,,,,Raja nichofii|Raja niehofii,Banded Eagle Ray,,,VU,A2bd,3.1,2016,decreasing,N
60121,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,vespertilio,"(Bleeker, 1852)",,,,,Aetomylaeus reticulates  |Myliobatis vespertilio  ,"Ornate Eagle Ray, Reticulate Eagle Ray",,,EN,A2d,3.1,2016,decreasing,N
161597,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,pelagicus,"Nakamura, 1935",,,,,"","Pelagic Thresher, Thresher Shark, Whiptail Shark",,,VU,A2d+4d,3.1,2009,decreasing,N
161696,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,superciliosus,"Lowe, 1841",,,,,Alopecias superciliosus,"Bigeye Thresher Shark, False Thresher",Renard à Gros Yeux,Zorro Ojón,VU,A2bd,3.1,2009,decreasing,N
39339,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,vulpinus,"(Bonnaterre, 1788)",,,,,Squalus vulpinus  ,Common Thresher Shark,Renard,Zorro,VU,A2bd+3bd+4bd,3.1,2009,decreasing,N
161452,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,badia,"(Garman, 1899)",,,,,Raja badia  ,"Broad Skate, Roughshoulder Skate",,,LC,,3.1,2016,unknown,N
63122,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,doellojuradoi,"(Pozzi, 1935)",,,,,Raja doellojuradoi  ,Southern Thorny Skate,,"Raya, Raya Erizo",LC,,3.1,2007,unknown,N
44652,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,frerichsi,"(Krefft, 1968)",,,,,Raja frerichsi,Thickbody Skate,,,DD,,3.1,2004,unknown,N
161490,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,georgiana,"(Norman, 1938)",,,,,Raja georgiana  ,Antarctic Starry Skate,,,DD,,3.1,2009,unknown,N
63119,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,hyperborea,(Collett 1879),,,,,Raja hyperborea  ,"Arctic Skate, Boreal Skate, Blackbelly Skate","Raie Arctique, Raie Boréale",Raya Ártica,LC,,3.1,2016,unknown,N
161491,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,jenseni,"(Bigelow & Schroeder, 1950)",,,,,Raja jenseni  ,Jensen's Skate,"Raie à Queue Courte, Raie de Jensen",,LC,,3.1,2009,unknown,N
161542,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,radiata,"(Donovan, 1808)",,,,,Raja radiata  ,"Thorny Skate, Starry Ray",,,VU,A2b,3.1,2009,decreasing,N
161340,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,reversa,"(Lloyd, 1906)",,,,,Raia reversa  ,Reversed Skate,,,DD,,3.1,2009,unknown,N
161322,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,robertsi,"(Hulley, 1970)",,,,,Raja robertsi  ,Bigmouth Skate,,,LC,,3.1,2009,unknown,N
161392,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,taaf,"(Meissner, 1987)",,,,,Raja taaf  ,Whiteleg Skate,,,DD,,3.1,2009,unknown,N
161481,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,americanus,"Bigelow & Schroeder, 1962",,,,,"",American Legskate,,,DD,,3.1,2009,unknown,N
161356,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,donghaiensis,"(Deng, Xiong & Zhan, 1983)",,,,,"",East China Legskate,,,DD,,3.1,2009,unknown,N
161681,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,folirostris,"(Bigelow & Schroeder, 1951)",,,,,Springeria folirostris  ,Leafnose Legskate,,,DD,,3.1,2009,unknown,N
161494,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,longirostris,"Bigelow & Schroeder, 1962",,,,,"",Longnose Legskate,,,DD,,3.1,2009,unknown,N
44600,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,marmoratus,"(von Bonde & Swart, 1923)",,,,,"",Spotted Legskate,,,DD,,3.1,2004,unknown,N
161603,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,nanhaiensis,"(Meng & Li, 1981)",,,,,Springeria nanhaiensis  ,,,,DD,,3.1,2009,unknown,N
