Genus,Species,Red List status
Acroteriobatus,annulatus,LC
Acroteriobatus,blochii,LC
Acroteriobatus,leucospilus,DD
Acroteriobatus,ocellatus,DD
Acroteriobatus,salalah,DD
Acroteriobatus,variegatus,DD
Acroteriobatus,zanzibarensis,NT
Aculeola,nigra,DD
Aetobatus,flagellum,EN
Aetobatus,narinari,NT
Aetobatus,ocellatus,VU
Aetomylaeus,asperrimus,DD
Aetomylaeus,bovinus,DD
Aetomylaeus,caeruleofasciatus,LC
Aetomylaeus,maculatus,EN
Aetomylaeus,nichofii,VU
Aetomylaeus,vespertilio,EN
Alopias,pelagicus,VU
Alopias,superciliosus,VU
Alopias,vulpinus,VU
Amblyraja,badia,LC
Amblyraja,doellojuradoi,LC
Amblyraja,frerichsi,DD
Amblyraja,georgiana,DD
Amblyraja,hyperborea,LC
Amblyraja,jenseni,LC
Amblyraja,radiata,VU
Amblyraja,reversa,DD
Amblyraja,robertsi,LC
Amblyraja,taaf,DD
Anacanthobatis,americanus,DD
Anacanthobatis,donghaiensis,DD
Anacanthobatis,folirostris,DD
Anacanthobatis,longirostris,DD
Anacanthobatis,marmoratus,DD
Anacanthobatis,nanhaiensis,DD
Anacanthobatis,ori,DD
Anacanthobatis,stenosoma,DD
Anoxypristis,cuspidata,EN
Apristurus,albisoma,LC
Apristurus,ampliceps,LC
Apristurus,aphyodes,LC
Apristurus,australis,LC
Apristurus,brunneus,DD
Apristurus,bucephalus,DD
Apristurus,canutus,DD
Apristurus,exsanguis,LC
Apristurus,fedorovi,DD
Apristurus,gibbosus,DD
Apristurus,herklotsi,DD
Apristurus,indicus,DD
Apristurus,internatus,DD
Apristurus,investigatoris,DD
Apristurus,japonicus,DD
Apristurus,kampae,DD
Apristurus,laurussonii,DD
Apristurus,longicephalus,LC
Apristurus,macrorhynchus,DD
Apristurus,macrostomus,DD
Apristurus,manis,LC
Apristurus,melanoasper,LC
Apristurus,microps,LC
Apristurus,micropterygeus,DD
Apristurus,nasutus,DD
Apristurus,parvipinnis,DD
Apristurus,pinguis,LC
Apristurus,platyrhynchus,LC
Apristurus,profundorum,DD
Apristurus,riveri,DD
Apristurus,saldanha,LC
Apristurus,sibogae,DD
Apristurus,sinensis,DD
Apristurus,spongiceps,DD
Apristurus,stenseni,DD
Aptychotrema,rostrata,LC
Aptychotrema,timorensis,VU
Aptychotrema,vincentiana,LC
Arhynchobatis,asperrimus,DD
Asymbolus,analis,LC
Asymbolus,funebris,DD
Asymbolus,galacticus,LC
Asymbolus,occiduus,LC
Asymbolus,pallidus,LC
Asymbolus,parvus,LC
Asymbolus,rubiginosus,LC
Asymbolus,submaculatus,LC
Asymbolus,vincenti,LC
Atelomycterus,baliensis,VU
Atelomycterus,fasciatus,LC
Atelomycterus,macleayi,LC
Atelomycterus,marmoratus,NT
Atelomycterus,marnkalha,DD
Atlantoraja,castelnaui,EN
Atlantoraja,cyclophora,VU
Atlantoraja,platana,VU
Aulohalaelurus,kanakorum,VU
Aulohalaelurus,labiosus,LC
Bathyraja,abyssicola,DD
Bathyraja,aguja,DD
Bathyraja,aleutica,LC
Bathyraja,andriashevi,LC
Bathyraja,bergi,LC
Bathyraja,brachyurops,LC
Bathyraja,cousseauae,NT
Bathyraja,diplotaenia,LC
Bathyraja,eatonii,DD
Bathyraja,fedorovi,LC
Bathyraja,griseocauda,EN
Bathyraja,hesperafricana,DD
Bathyraja,interrupta,LC
Bathyraja,irrasa,NT
Bathyraja,ishiharai,DD
Bathyraja,isotrachys,LC
Bathyraja,kincaidii,DD
Bathyraja,lindbergi,LC
Bathyraja,longicauda,DD
Bathyraja,maccaini,NT
Bathyraja,maculata,LC
Bathyraja,mariposa,LC
Bathyraja,matsubarai,DD
Bathyraja,meridionalis,DD
Bathyraja,microtrachys,LC
Bathyraja,minispinosa,LC
Bathyraja,pallida,LC
Bathyraja,panthera,LC
Bathyraja,papilonifera,DD
Bathyraja,parmifera,LC
Bathyraja,peruana,DD
Bathyraja,richardsoni,LC
Bathyraja,scaphiops,NT
Bathyraja,schroederi,DD
Bathyraja,shuntovi,DD
Bathyraja,smirnovi,LC
Bathyraja,smithii,DD
Bathyraja,spinicauda,NT
Bathyraja,spinosissima,LC
Bathyraja,trachouros,LC
Bathyraja,trachura,LC
Bathyraja,tunae,DD
Bathyraja,tzinovskii,LC
Bathyraja,violacea,DD
Bathytoshia,brevicaudata,LC
Bathytoshia,centroura,LC
Bathytoshia,lata,LC
Benthobatis,kreffti,VU
Benthobatis,marcida,LC
Benthobatis,moresbyi,DD
Benthobatis,yangi,VU
Beringraja,binoculata,LC
Beringraja,pulchra,VU
Brachaelurus,colcloughi,VU
Brachaelurus,waddi,LC
Breviraja,claramaculata,DD
Breviraja,colesi,DD
Breviraja,nigriventralis,DD
Breviraja,spinosa,DD
Brevitrygon,imbricata,DD
Brevitrygon,walga,NT
Brochiraja,aenigma,DD
Brochiraja,albilabiata,DD
Brochiraja,asperula,DD
Brochiraja,leviveneta,DD
Brochiraja,microspinifera,DD
Brochiraja,spinifera,DD
Bythaelurus,alcockii,DD
Bythaelurus,canescens,DD
Bythaelurus,clevai,DD
Bythaelurus,dawsoni,DD
Bythaelurus,hispidus,DD
Bythaelurus,immaculatus,DD
Bythaelurus,incanus,DD
Bythaelurus,lutarius,DD
Callorhinchus,callorynchus,LC
Callorhinchus,capensis,LC
Callorhinchus,milii,LC
Carcharhinus,acronotus,NT
Carcharhinus,albimarginatus,VU
Carcharhinus,altimus,DD
Carcharhinus,amblyrhynchoides,NT
Carcharhinus,amblyrhynchos,NT
Carcharhinus,amboinensis,DD
Carcharhinus,borneensis,EN
Carcharhinus,brachyurus,NT
Carcharhinus,brevipinna,NT
Carcharhinus,cautus,DD
Carcharhinus,dussumieri,NT
Carcharhinus,falciformis,NT
Carcharhinus,fitzroyensis,LC
Carcharhinus,galapagensis,NT
Carcharhinus,hemiodon,CR
Carcharhinus,isodon,LC
Carcharhinus,leiodon,VU
Carcharhinus,leucas,NT
Carcharhinus,limbatus,NT
Carcharhinus,longimanus,VU
Carcharhinus,macloti,NT
Carcharhinus,melanopterus,NT
Carcharhinus,obscurus,VU
Carcharhinus,perezi,NT
Carcharhinus,plumbeus,VU
Carcharhinus,porosus,DD
Carcharhinus,sealei,NT
Carcharhinus,signatus,VU
Carcharhinus,sorrah,NT
Carcharhinus,tilstoni,LC
Carcharias,taurus,VU
Carcharodon,carcharias,VU
Centrophorus,atromarginatus,DD
Centrophorus,harrissoni,EN
Centrophorus,isodon,DD
Centrophorus,lusitanicus,VU
Centrophorus,moluccensis,DD
Centrophorus,seychellorum,DD
Centrophorus,squamosus,VU
Centrophorus,tessellatus,DD
Centrophorus,uyato,DD
Centrophorus,westraliensis,DD
Centroscyllium,excelsum,DD
Centroscyllium,fabricii,LC
Centroscyllium,granulatum,DD
Centroscyllium,kamoharai,DD
Centroscyllium,nigrum,DD
Centroscyllium,ornatum,DD
Centroscyllium,ritteri,DD
Centroscymnus,coelolepis,NT
Centroscymnus,owstonii,LC
Centroselachus,crepidater,LC
Cephaloscyllium,albipinnum,NT
Cephaloscyllium,cooki,DD
Cephaloscyllium,fasciatum,DD
Cephaloscyllium,hiscosellum,LC
Cephaloscyllium,isabellum,LC
Cephaloscyllium,laticeps,LC
Cephaloscyllium,maculatum,DD
Cephaloscyllium,pardelotum,DD
Cephaloscyllium,sarawakensis,DD
Cephaloscyllium,signourum,DD
Cephaloscyllium,silasi,DD
Cephaloscyllium,speccum,DD
Cephaloscyllium,sufflans,LC
Cephaloscyllium,umbratile,DD
Cephaloscyllium,variegatum,NT
Cephaloscyllium,ventriosum,LC
