Species	Status	min_age	max_age
Cretolamna_appendiculata	extinct	100.5	113
Lamna_(Odontaspis)_gracilis	extinct	100.5	113
Lamna_(Odontaspis)_gracilis	extinct	100.5	113
Lamna_(Odontaspis)_gracilis	extinct	122.46	125.45
Lamna_(Odontaspis)_gracilis	extinct	129.4	132.9
Odontaspis	extinct	129.4	132.9
Odontaspis	extinct	132.9	139.8
Lamna_(Odontaspis)_gracilis	extinct	122.46	125.45
Squalicorax_falcatus	extinct	100.5	113
Lamna_(Odontaspis)_gracilis	extinct	100.5	113
Lamna_(Odontaspis)_gracilis	extinct	129.4	132.9
Lamna_(Odontaspis)_gracilis	extinct	129.4	132.9
Hexanchus	extinct	56	59.2
Hexanchus	extinct	56	59.2
Isurus	extinct	56	59.2
Carcharodon_hastalis	extinct	56	59.2
Lamna	extinct	56	59.2
Myliobatis_jugosus	extinct	56	59.2
Myliobatis_magister	extinct	56	59.2
Myliobatis	extinct	56	59.2
Odontaspis	extinct	56	59.2
Rhinoptera	extinct	56	59.2
Squatina	extinct	56	59.2
Scyliorhinus	extinct	56	59.2
Striatolamia	extinct	56	59.2
Squalicorax_pristodontus	extinct	66	70.6
Hexanchus	extinct	48.6	55.8
Notidanus_serratissimus	extinct	48.6	55.8
Squalus_minor	extinct	48.6	55.8
Isurolamna	extinct	48.6	55.8
Lamna	extinct	48.6	55.8
Carcharias	extinct	48.6	55.8
Carcharias	extinct	48.6	55.8
Odontaspis_winkleri	extinct	48.6	55.8
Abdounia	extinct	48.6	55.8
Scyliorhinus	extinct	48.6	55.8
Physogaleus	extinct	48.6	55.8
Galeorhinus	extinct	48.6	55.8
Galeorhinus	extinct	48.6	55.8
Squatina_prima	extinct	48.6	55.8
Myliobatis	extinct	37.2	48.6
Abdounia	extinct	37.2	48.6
Squalus_minor	extinct	37.2	55.8
Nebrius	extinct	37.2	55.8
Hemiscyllium	extinct	37.2	55.8
Palaeorhincodon	extinct	37.2	55.8
Abdounia	extinct	37.2	55.8
Eostegostoma	extinct	37.2	55.8
Scyliorhinus	extinct	37.2	55.8
Mustelus	extinct	37.2	55.8
Abdounia	extinct	37.2	55.8
Isurus	extinct	37.2	55.8
Lamna	extinct	37.2	55.8
Striatolamia_macrota	extinct	37.2	55.8
Carcharias	extinct	37.2	55.8
Carcharias_acutissima	extinct	37.2	55.8
Carcharhinidae	extinct	37.2	55.8
Physogaleus	extinct	37.2	55.8
Galeocerdo_latidens	extinct	37.2	55.8
Galeorhinus	extinct	37.2	55.8
Squatina_prima	extinct	37.2	55.8
Abdounia	extinct	37.2	55.8
Trygon_jaekeli	extinct	37.2	55.8
Aetobatus	extinct	37.2	55.8
Myliobatis	extinct	37.2	55.8
Squalus_minor	extinct	37.2	55.8
Abdounia	extinct	37.2	55.8
Abdounia	extinct	37.2	55.8
Scyliorhinus	extinct	37.2	55.8
Scyliorhinus	extinct	37.2	55.8
Isurus	extinct	37.2	55.8
Striatolamia_macrota	extinct	37.2	55.8
Carcharias	extinct	37.2	55.8
Physogaleus	extinct	37.2	55.8
Scoliodon	extinct	37.2	55.8
Galeorhinus	extinct	37.2	55.8
Trygon_jaekeli	extinct	37.2	55.8
Myliobatis	extinct	37.2	55.8
Squalus_minor	extinct	37.2	55.8
Nebrius	extinct	37.2	55.8
Hemiscyllium	extinct	37.2	55.8
Palaeorhincodon	extinct	37.2	55.8
Abdounia	extinct	37.2	55.8
Scyliorhinus	extinct	37.2	55.8
Scyliorhinus	extinct	37.2	55.8
Mustelus	extinct	37.2	55.8
Triakis	extinct	37.2	55.8
Isurus	extinct	37.2	55.8
Lamna	extinct	37.2	55.8
Striatolamia_macrota	extinct	37.2	55.8
Carcharias	extinct	37.2	55.8
Carcharias_acutissima	extinct	37.2	55.8
Carcharhinidae	extinct	37.2	55.8
Physogaleus	extinct	37.2	55.8
Galeocerdo_latidens	extinct	37.2	55.8
Galeorhinus	extinct	37.2	55.8
Squatina_prima	extinct	37.2	55.8
Trygon_jaekeli	extinct	37.2	55.8
Aetobatus	extinct	37.2	55.8
Myliobatis	extinct	37.2	55.8
Abdounia	extinct	37.2	55.8
Scoliodon	extinct	37.2	55.8
Squalicorax_kaupi	extinct	70.6	83.5
Squalicorax_pristodontus	extinct	70.6	83.5
Cretolamna_appendiculata	extinct	70.6	83.5
Odontaspididae	extinct	66	83.6
Striatolamia_macrota	extinct	41.3	47.8
Carcharhinus_macloti	extinct	41.3	47.8
Triaenodon	extinct	41.3	47.8
Myliobatidae	extinct	41.3	47.8
Isurus	extinct	41.3	48.6
Cretolamna	extinct	70.6	83.5
Squalicorax_pristodontus	extinct	70.6	83.5
Odontaspis	extinct	38	41.3
Odontaspis	extinct	38	41.3
Onchus	extinct	423	425.6
Cretolamna	extinct	93.5	99.6
Cretolamna	extinct	93.5	99.6
Cretolamna	extinct	93.5	99.6
Cretolamna	extinct	93.5	99.6
Myledaphus_bipartitus	extinct	66	72.1
Carcharocles	extinct	46.2	50.3
Odontaspis	extinct	46.2	50.3
Striatolamia_macrota	extinct	46.2	50.3
Carcharias	extinct	46.2	50.3
Lamna	extinct	46.2	50.3
Abdounia	extinct	46.2	50.3
Galeorhinus_recticonus	extinct	46.2	50.3
Physodon	extinct	46.2	50.3
Nebrius	extinct	46.2	50.3
Pristis_lathami	extinct	46.2	50.3
Burnhamia	extinct	46.2	50.3
Aetobatus	extinct	46.2	50.3
Myliobatis	extinct	46.2	50.3
Isurus	extinct	5.333	23.03
Hemipristis_serra	extinct	5.333	23.03
Galeocerdo	extinct	5.333	23.03
Myliobatis	extinct	5.333	23.03
Trygon_sinhaleyus	extinct	5.333	23.03
Chrysophris	extinct	5.333	23.03
Onchus	extinct	419.2	423
Onchus_tenuistriatus	extinct	419.2	423
Onchus_tenuistriatus	extinct	419.2	423
Onchus_tenuistriatus	extinct	419.2	423
Onchus_murchisoni	extinct	419.2	423
Onchus	extinct	410.8	419.2
Isurus	extinct	5.333	11.608
Myliobatis	extinct	5.333	11.608
Squatina	extinct	5.333	11.608
Galeorhinus	extinct	5.333	11.608
Raja	extinct	5.333	11.608
Squalus	extinct	5.333	11.608
Carcharhinus	extant	5.333	11.608
Odontaspis	extinct	5.333	11.608
Carcharhinus	extant	5.333	11.608
Odontaspis	extinct	5.333	11.608
Negaprion	extinct	5.333	11.608
Carcharocles_megalodon	extinct	5.333	11.608
Prionace	extinct	5.333	11.608
Carcharodon	extinct	5.333	11.608
Notidanus_serratissimus	extinct	5.333	11.608
Squatina	extinct	5.333	11.608
Trygonidae	extinct	5.333	11.608
Isurus	extinct	2.588	23.03
Lamna	extinct	2.588	23.03
Rhinoptera	extinct	2.588	23.03
Trygonidae	extinct	3.6	5.333
Squatina	extinct	3.6	5.333
Squatina	extinct	3.6	5.333
Cretorectolobus_olsoni	extinct	70.6	83.5
Eucrossorhinus_microcuspidatus	extinct	70.6	83.5
Odontaspis	extinct	70.6	83.5
Carcharias	extinct	70.6	83.5
Archaeolamna	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Pseudohypolophus	extinct	93.5	105.3
Cretorectolobus	extinct	93.5	105.3
Myledaphus_bipartitus	extinct	70.6	83.5
Myliobatis	extinct	2.588	3.6
Cretodus	extinct	83.5	93.5
Carcharias	extinct	70.6	83.5
Cretolamna	extinct	70.6	83.5
Myledaphus	extinct	70.6	83.5
Myledaphus	extinct	70.6	83.5
Carcharodon_carcharias	extinct	7.246	11.62
Carcharocles_megalodon	extinct	7.246	11.62
Ginglymostoma_delfortriei	extinct	7.246	11.62
Hemipristis_serra	extinct	7.246	11.62
Galeocerdo_contortus	extinct	7.246	11.62
Galeocerdo_aduncus	extinct	7.246	11.62
Carcharhinus	extant	7.246	11.62
Sphyrna	extinct	7.246	11.62
Sphyrna_zygaena	extinct	7.246	11.62
Isistius	extinct	7.246	11.62
Myliobatis	extinct	7.246	11.62
Rhinoptera	extinct	7.246	11.62
Aetobatus_arcuatus	extinct	7.246	11.62
Squatina_hassei	extinct	70.6	83.5
Ginglymostoma_globidens	extinct	70.6	83.5
Odontaspis	extinct	70.6	83.5
Synodontaspis_holmdelensis	extinct	70.6	83.5
Cretolamna_appendiculata	extinct	70.6	83.5
Cretodus	extinct	70.6	83.5
Cretodus_borodini	extinct	70.6	83.5
Paranomotodon	extinct	70.6	83.5
Pseudocorax	extinct	70.6	83.5
Squalicorax_kaupi	extinct	70.6	83.5
Pseudohypolophus	extinct	70.6	83.5
Sclerorhynchus	extinct	70.6	83.5
Ginglymostoma	extinct	0.0117	0.126
Carcharias_taurus	extinct	0.0117	0.126
Galeocerdo_cuvier	extant	0.0117	0.126
Carcharhinus_leucas	extinct	0.0117	0.126
Carcharhinus_obscurus	extant	0.0117	0.126
Carcharhinus	extant	0.0117	0.126
Negaprion_brevirostris	extinct	0.0117	0.126
Rhizoprionodon	extinct	0.0117	0.126
Sphyrna	extinct	0.0117	0.126
Aetobatus_narinari	extinct	0.0117	0.126
Myliobatidae	extinct	0.0117	0.126
Carcharias_taurus	extinct	0.0117	0.126
Galeocerdo_cuvier	extant	0.0117	0.126
Carcharhinus_leucas	extinct	0.0117	0.126
Carcharhinus_obscurus	extant	0.0117	0.126
Carcharhinus	extant	0.0117	0.126
Negaprion_brevirostris	extinct	0.0117	0.126
Rhizoprionodon	extinct	0.0117	0.126
Aetobatus_narinari	extinct	0.0117	0.126
Myliobatidae	extinct	0.0117	0.126
Peyeria_libyca	extinct	93.5	99.6
Serratolamna	extinct	93.5	99.6
Onchus	extinct	393.3	419.2
Onchus	extinct	393.3	419.2
Onchus	extinct	393.3	419.2
Squalicorax_pristodontus	extinct	70.6	83.5
Galeorhinus	extinct	50.3	55.8
Onchus	extinct	393.3	407.6
Onchus	extinct	393.3	407.6
Squalicorax_pristodontus	extinct	70.6	83.5
Squalicorax_pristodontus	extinct	66	70.6
Odontaspis	extinct	66	70.6
Squatina	extinct	61.7	70.6
Squalicorax_pristodontus	extinct	61.7	70.6
Cretolamna_appendiculata	extinct	61.7	70.6
Odontaspis_cuspidata	extinct	61.7	70.6
Rhinoptera	extinct	61.7	70.6
Myliobatis_striatus	extinct	61.7	70.6
Odontaspis	extinct	61.6	66
Lamna_obliqua	extinct	61.6	66
Palaeocarcharodon	extinct	61.6	66
Onchus	extinct	407.6	419.2
Onchus	extinct	419.2	423
Igdabatis_indicus	extinct	66	72.1
Myledaphus_bipartitus	extinct	66	70.6
Onchopristis_dunklei	extinct	70.6	83.5
Squatirhina_americana	extinct	70.6	83.5
Sclerorhynchus	extinct	70.6	83.5
Pseudohypolophus	extinct	70.6	83.5
Squatina_hassei	extinct	70.6	83.5
Synodontaspis_holmdelensis	extinct	70.6	83.5
Odontaspis	extinct	70.6	83.5
Plicatolamna_arcuata	extinct	70.6	83.5
Cretodus_borodini	extinct	70.6	83.5
Paranomotodon	extinct	70.6	83.5
Squalicorax_kaupi	extinct	70.6	83.5
Squalicorax_pristodontus	extinct	70.6	83.5
Pseudocorax	extinct	70.6	83.5
Leptostyrax_bicuspidatus	extinct	100.5	113
Leptostyrax_bicuspidatus	extinct	100.5	113
Leptostyrax_bicuspidatus	extinct	100.5	113
