Species	Status
Abdounia	extinct
Acanthoscyllium	extinct
Aetobatis_irregularis	extinct
Aetobatis_profundus	extinct
Aetobatus	extinct
Aetobatus_arcuatus	extinct
Aetobatus_narinari	extinct
Aetomylaeus	extinct
Akaimia_altucuspis	extinct
Aktaua	extinct
Almascyllium	extinct
Alopecias_grandis	extinct
Alopecias_smithwoodwardi	extinct
Annea	extinct
Annea_carinata	extinct
Annea_maubeugei	extinct
Anoxypristis	extinct
Apocopodon_sericeus	extinct
Aprionodon	extinct
Aprionodon_greyegertoni	extinct
Archaeolamna	extinct
Archaeolamna_kopingensis	extinct
Archaeomanta	extinct
Archaeomanta_melenhorsti	extinct
Archaeomanta_priemi	extinct
Archaeotriakis	extinct
Archaeotriakis_rochelleae	extinct
Brachaeluridae	extinct
Brachaelurus	extinct
Brachycarcharias	extinct
Burnhamia	extinct
Burnhamia_daviesi	extinct
Burnhamia_fetahi	extinct
Bythaelurus	extinct
Cantioscyllium	extinct
Cantioscyllium_decipiens	extinct
Carcharhinidae	extinct
Carcharhinus	extant
Carcharhinus_ackermani	extinct
Carcharhinus_balochenisis	extinct
Carcharhinus_egertoni	extinct
Carcharhinus_falciformis	extant
Carcharhinus_leucas	extinct
Carcharhinus_macloti	extinct
Carcharhinus_obscurus	extant
Carcharhinus_perezi	extinct
Carcharhinus_perseus	extinct
Carcharhinus_plumbeus	extant
Carcharhinus_priscus	extinct
Carcharias	extinct
Carcharias_(Aprionodon)_frequens	extinct
Carcharias_(Physodon)_quartus	extinct
Carcharias_(Prionodon)_egertoni	extinct
Carcharias_acutissima	extinct
Carcharias_collata	extinct
Carcharias_striatula	extinct
Carcharias_taurus	extinct
Carcharias_tenuis	extinct
Carchariniformes	extinct
Carchariolamna	extinct
Carcharocles	extinct
Carcharocles_megalodon	extinct
Carcharodon	extinct
Carcharodon_angustidens	extinct
Carcharodon_auriculatus	extinct
Carcharodon_carcharias	extinct
Carcharodon_escheri	extinct
Carcharodon_hastalis	extinct
Carcharodon_hubbelli	extinct
Carcharodon_humilis	extinct
Carcharodon_morricei	extinct
Carcharodon_orientalis	extinct
Carcharodon_plicatilis	extinct
Carcharodon_polygyrus	extinct
Carcharodon_productus	extinct
Carcharodon_rondeleti	extinct
Carcharodon_subauriculatus	extinct
Carcharodon_sulcidens	extinct
Carcharodon_tembloris	extinct
Carcharodon_turgidus	extinct
Carcharoides	extinct
Carcharoides_totuserratus	extinct
Cardabiodon_ricki	extinct
Cenocarcharias	extinct
Centrophoroides	extinct
Centrophorus	extinct
Centroscymnus	extinct
Centroselachus	extinct
Centrosqualus	extinct
Cetorhinus	extinct
Cetorhinus_maximus	extinct
Chaenogaleus	extinct
Chiloscyllium	extinct
Chiloscyllium_meraense	extinct
Chiloscyllium_missouriense	extinct
Chlamydoselachus	extinct
Chrysophris	extinct
Columbusia	extinct
Cooperella	extinct
Cooperella_eroda	extinct
Cooperella_rectistriata	extinct
Cooperella_selluliformis	extinct
Cooperella_striata	extinct
Cooperella_striatula	extinct
Cooperella_subsulcata	extinct
Cooperella_typicalis	extinct
Corax	extinct
Crassescyliorhinus	extinct
Cretalamna	extinct
Cretascymnus	extinct
Cretodus	extinct
Cretodus_borodini	extinct
Cretodus_semiplicatus	extinct
Cretolamna	extinct
Cretolamna_appendiculata	extinct
