"Rancholabrean","0.3","0.012"
"Late Pleistocene","0.126","0.0117"
"Irvingtonian","1.8","0.3"
"Calabrian","1.806","0.781"
"Pleistocene","2.588","0"
"Pleistocene","2.588","0.0117"
"Early Pleistocene","2.588","0.781"
"Gelasian","2.588","1.806"
"Late Pliocene","3.6","0.781"
"Piacenzian","3.6","1.806"
"Late Pliocene","3.6","2.588"
"Piacenzian","3.6","2.588"
"Waipipian","3.6","3"
"Opoitian","5.333","0.34"
"Early Pliocene","5.333","2.588"
"Pliocene","5.333","2.588"
"Zanclean","5.333","2.588"
"Early Pliocene","5.333","3.6"
"Opoitian","5.333","3.6"
"Zanclean","5.333","3.6"
"Kapitean","6.5","5.333"
"Messinian","7.246","3.6"
"MN 13","7.246","4.9"
"Messinian","7.246","5.333"
"Hemphillian","10.3","4.9"
"Late Hemphillian","10.3","4.9"
"MN 9","11.1","9.7"
"Tortonian","11.62","5.333"
"Tortonian","11.62","7.246"
"Late Miocene","11.608","2.588"
"Late Miocene","11.608","3.6"
"Late Miocene","11.608","5.333"
"Tongaporutuan","11.608","6.5"
"Waiauan","12.7","11.608"
"Clarendonian","13.6","10.3"
"Early Clarendonian","13.6","10.3"
"Late Clarendonian","13.6","10.3"
"Badenian","13.65","12.7"
"Serravallian","13.82","7.246"
"Serravallian","13.82","11.62"
"Middle Miocene","15.97","2.588"
"Middle Miocene","15.97","3.6"
"Barstovian","15.97","4.9"
"Langhian","15.97","11.62"
"Middle Miocene","15.97","11.608"
"Barstovian","15.97","13.6"
"MN 5","15.97","13.65"
"Langhian","15.97","13.82"
"MN 4","16.9","15.97"
"Early Hemingfordian","20.43","15.97"
"Hemingfordian","20.43","15.97"
"Burdigalian","20.44","13.82"
"Burdigalian","20.44","15.97"
"Otaian","21.7","19"
"Miocene","23.03","2.588"
"Neogene","23.03","2.588"
"Miocene","23.03","5.333"
"Early Miocene","23.03","11.608"
"Early Miocene","23.03","15.97"
"Aquitanian","23.03","20.44"
"MN 1","23.03","22.4"
"Duntroonian","27.3","25.2"
"Chattian","28.1","23.03"
"Late Oligocene","28.4","15.97"
"Late Oligocene","28.4","23.03"
"Whitneyan","33.3","30.8"
"Oligocene","33.9","5.333"
"Oligocene","33.9","23.03"
"Rupelian","33.9","28.1"
"Early Oligocene","33.9","28.4"
"MP 22","33.9","28.4"
"Late Eocene","37.2","28.4"
"Late Eocene","37.2","33.9"
"Priabonian","38","33.9"
"Bartonian","41.3","33.9"
"Bartonian","41.3","38"
"Bortonian","43","36"
"Late Uintan","46.2","40.4"
"Lutetian","47.8","38"
"Lutetian","47.8","41.3"
"Middle Eocene","48.6","33.9"
"Middle Eocene","48.6","37.2"
"Middle Eocene","48.6","41.3"
"Bridgerian","50.3","46.2"
"Early Eocene","55.8","37.2"
"Casamayoran","55.8","48"
"Early Eocene","55.8","48.6"
"MP 10","55.8","48.6"
"Wasatchian","55.8","50.3"
"Waipawan","55.8","53"
"Eocene","56","33.9"
"Ypresian","56","33.9"
"Ypresian","56","41.3"
"Ypresian","56","47.8"
"Clarkforkian","56.8","55.8"
"Late Paleocene","58.7","48.6"
"Late Paleocene","58.7","55.8"
"Thanetian","59.2","47.8"
"Thanetian","59.2","56"
"Selandian","61.6","56"
"Selandian","61.6","59.2"
"Tertiary","66","2.588"
"Paleogene","66","23.03"
"Teurian","66","55.8"
"Paleocene","66","56"
"Danian","66","61.6"
"Early Paleocene","66","61.7"
"Late Maastrichtian","70.6","61.7"
"Early Maastrichtian","70.6","66"
"Edmontonian","70.6","66"
"Lancian","70.6","66"
"Late Maastrichtian","70.6","66"
"Maastrichtian","72.1","61.6"
"Maastrichtian","72.1","66"
"Early Campanian","83.5","66"
"Haumurian","83.5","66"
"Late Campanian","83.5","66"
"Middle Campanian","83.5","66"
"Early Campanian","83.5","70.6"
"Judithian","83.5","70.6"
"Late Campanian","83.5","70.6"
"Middle Campanian","83.5","70.6"
"Campanian","83.6","66"
"Campanian","83.6","72.1"
"Piripauan","85.8","66"
"Late Santonian","85.8","70.6"
"Early Santonian","85.8","83.5"
"Late Santonian","85.8","83.5"
"Middle Santonian","85.8","83.5"
"Santonian","86.3","66"
"Santonian","86.3","83.6"
"Senonian","89.3","66"
"Late Coniacian","89.3","70.6"
"Late Coniacian","89.3","85.8"
"Coniacian","89.8","86.3"
"Late Turonian","93.5","83.5"
"Early Turonian","93.5","89.3"
"Late Turonian","93.5","89.3"
"Middle Turonian","93.5","89.3"
"Turonian","93.9","86.3"
"Turonian","93.9","89.8"
"Early Cenomanian","99.6","93.5"
"Late Cenomanian","99.6","93.5"
"Middle Cenomanian","99.6","93.5"
"Late Cretaceous","100.5","66"
"Cenomanian","100.5","93.9"
"Late Albian","105.3","93.5"
"Late Albian","105.3","93.9"
"Late Albian","105.3","99.6"
"Early Albian","112.03","109"
"Albian","113","66"
"Albian","113","89.8"
"Albian","113","93.9"
"Albian","113","100.5"
"Late Aptian","122.46","112.03"
"Aptian","125","113"
"Early Aptian","125.45","122.46"
"Barremian","129.4","125"
"Late Barremian","130","122.46"
"Early Barremian","130","125.45"
"Hauterivian","132.9","129.4"
"Early Hauterivian","136.4","130"
"Valanginian","139.8","132.9"
"Cretaceous","145","56"
"Cretaceous","145","66"
"Early Cretaceous","145","66"
"Early Cretaceous","145","100.5"
"Berriasian","145","139.8"
"Late Tithonian","150.8","140.2"
"Early Tithonian","150.8","145"
"Late Kimmeridgian","155.7","145"
"Late Kimmeridgian","155.7","150.8"
"Kimmeridgian","157.3","152.1"
"Late Oxfordian","161.2","155.7"
"Oxfordian","163.5","157.3"
"Late Callovian","164.7","161.2"
"Middle Callovian","164.7","161.2"
"Callovian","166.1","163.5"
"Late Bathonian","167.7","164.7"
"Middle Bathonian","167.7","164.7"
"Bathonian","168.3","166.1"
"Bajocian","170.3","168.3"
"Laeviuscula","171.6","167.7"
"Late Bajocian","171.6","167.7"
"Humphresianum","171.6","168.4"
"Aalenian","174.1","170.3"
"Late Aalenian","175.6","168.4"
"Late Aalenian","175.6","171.6"
"Thouarsense","180.1","175.6"
"Bifrons","182","175.6"
"Variabilis","182","175.6"
"Toarcian","182.7","174.1"
"Early Toarcian","183","182"
"Late Pliensbachian","189.6","183"
"Margaritatus","189.6","183"
"Spinatum","189.6","183"
"Pliensbachian","190.8","182.7"
"Rhaetian","208.5","201.3"
"Lacian","221.5","215.56"
"Carnian","237","228"
"Fassanian","242","235"
"Aegean","247.2","242"
"Bithynian","247.2","242"
"Late Urzhumian","268","252.3"
"Wordian","268.8","265.1"
"Virgilian","303.4","298.9"
"Gzhelian","303.7","298.9"
"Kasimovian","307","303.7"
"Desmoinesian","313.8","305.9"
"Emsian","407.6","393.3"
"Early Devonian","419.2","393.3"
"Lochkovian","419.2","407.6"
"Lochkovian","419.2","410.8"
"Ohesaare","423","419.2"
"Pridoli","423","419.2"
"Ludfordian","425.6","423"
"Arenig","478.6","466"
"Cassinian","478.6","468.1"
"Blackhillsian","478.6","471.8"
"Canadian","485.4","468.1"
"Tulean","485.4","471.8"
"early_interval","max_ma","min_ma"
