"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","abund_value","abund_unit","lng","lat"
"2585","occ","12896","","287","Ptyocephalus","genus","20163","Tulean","","485.4","471.8","13452","","","-110.215553","47.153610"
"2686","occ","","","295","Ptyocephalus","genus","20163","Arenig","","478.6","466","61152","","","-110.402222","40.163334"
"28198","occ","","","2166","Cretolamna appendiculata","species","117676","Albian","","113","100.5","66","","","6.516667","46.833332"
"28246","occ","","","2167","Lamna (Odontaspis) gracilis","species","210132","Albian","","113","100.5","66","","","6.516667","46.833332"
"28326","occ","","","2168","Lamna (Odontaspis) gracilis","species","210132","Albian","","113","100.5","66","","","6.583333","47.049999"
"28409","occ","","","2175","Lamna (Odontaspis) gracilis","species","210132","Early Aptian","","125.45","122.46","66","","","6.516667","46.833332"
"29078","occ","","","2198","Lamna (Odontaspis) gracilis","species","210132","Hauterivian","","132.9","129.4","66","","","6.516667","46.833332"
"29079","occ","","","2198","Odontaspis","genus","34620","Hauterivian","","132.9","129.4","66","","","6.516667","46.833332"
"30263","occ","","","2225","Odontaspis","genus","34620","Valanginian","","139.8","132.9","66","","","6.516667","46.833332"
"30570","occ","","","2232","Lamna (Odontaspis) gracilis","species","210132","Early Aptian","","125.45","122.46","66","","","6.300000","46.716667"
"30692","occ","","","2237","Squalicorax falcatus","species","125016","Albian","","113","100.5","66","","","6.516667","46.833332"
"30695","occ","","","2237","Lamna (Odontaspis) gracilis","species","210132","Albian","","113","100.5","66","","","6.516667","46.833332"
"31169","occ","","","2256","Lamna (Odontaspis) gracilis","species","210132","Hauterivian","","132.9","129.4","68","","","7.083333","47.049999"
"31254","occ","","","2259","Lamna (Odontaspis) gracilis","species","210132","Hauterivian","","132.9","129.4","68","","","7.083333","47.016666"
"40139","occ","","","3113","Hexanchus","genus","34526","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40140","occ","","","3113","Hexanchus","genus","34526","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40142","occ","","","3113","Isurus","genus","34613","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40144","occ","","","3113","Carcharodon hastalis","species","80595","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40145","occ","","","3113","Lamna","genus","34615","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40146","occ","","","3113","Myliobatis jugosus","species","132641","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40147","occ","","","3113","Myliobatis magister","species","132697","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40148","occ","","","3113","Myliobatis","genus","34741","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40149","occ","","","3113","Odontaspis","genus","34620","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40151","occ","","","3113","Rhinoptera","genus","34745","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40153","occ","","","3113","Squatina","genus","34570","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40154","occ","","","3113","Scyliorhinus","genus","34663","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40155","occ","","","3113","Striatolamia","genus","34634","Thanetian","","59.2","56","140","","","-74.683334","39.971943"
"40325","occ","","","3123","Squalicorax pristodontus","species","110986","Late Maastrichtian","","70.6","66","143","","","5.783333","50.866669"
"41359","occ","","","3260","Hexanchus","genus","34526","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41360","occ","","","3260","Notidanus serratissimus","species","154371","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41361","occ","","","3260","Squalus minor","species","154376","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41362","occ","","","3260","Isurolamna","genus","34612","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41363","occ","","","3260","Lamna","genus","34615","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41366","occ","","","3260","Carcharias","genus","64190","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41367","occ","","","3260","Carcharias","genus","64190","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41368","occ","","","3260","Odontaspis winkleri","species","132648","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41370","occ","","","3260","Abdounia","genus","34638","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41371","occ","","","3260","Scyliorhinus","genus","34663","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41372","occ","","","3260","Physogaleus","genus","34656","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41373","occ","","","3260","Galeorhinus","genus","83177","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41374","occ","","","3260","Galeorhinus","genus","83177","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41375","occ","","","3260","Squatina prima","species","156475","Early Eocene","","55.8","48.6","151","","","0.833333","51.400002"
"41449","occ","","","3263","Myliobatis","genus","34741","Middle Eocene","","48.6","37.2","153","1","elements","-1.316667","51.016666"
"41488","occ","","","3265","Abdounia","genus","34638","Middle Eocene","","48.6","37.2","153","2","elements","-1.316667","51.016666"
"41526","occ","","","3257","Squalus minor","species","154376","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41527","occ","","","3257","Nebrius","genus","34587","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41529","occ","","","3257","Hemiscyllium","genus","34585","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41530","occ","","","3257","Palaeorhincodon","genus","34589","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41531","occ","","","3257","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41532","occ","","","3257","Eostegostoma","genus","34583","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41533","occ","","","3257","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41534","occ","","","3257","Mustelus","genus","34650","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41535","occ","","","3257","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41536","occ","","","3257","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41537","occ","","","3257","Lamna","genus","34615","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41539","occ","","","3257","Striatolamia macrota","species","66716","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41540","occ","","","3257","Carcharias","genus","64190","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41543","occ","","","3257","Carcharias acutissima","species","97236","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41544","occ","","","3257","Carcharhinidae","family","83183","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41545","occ","","","3257","Physogaleus","genus","34656","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41546","occ","","","3257","Galeocerdo latidens","species","154351","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41547","occ","","","3257","Galeorhinus","genus","83177","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41548","occ","","","3257","Squatina prima","species","156475","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41551","occ","","","3257","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41553","occ","","","3257","Trygon jaekeli","species","153968","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41554","occ","","","3257","Aetobatus","genus","34721","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41555","occ","","","3257","Myliobatis","genus","34741","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41556","occ","","","3258","Squalus minor","species","154376","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41557","occ","","","3258","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41558","occ","","","3258","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41559","occ","","","3258","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41560","occ","","","3258","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41561","occ","","","3258","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41562","occ","","","3258","Striatolamia macrota","species","66716","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41563","occ","","","3258","Carcharias","genus","64190","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41564","occ","","","3258","Physogaleus","genus","34656","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41565","occ","","","3258","Scoliodon","genus","100438","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41566","occ","","","3258","Galeorhinus","genus","83177","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41571","occ","","","3258","Trygon jaekeli","species","153968","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41572","occ","","","3258","Myliobatis","genus","34741","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41582","occ","","","3256","Squalus minor","species","154376","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41583","occ","","","3256","Nebrius","genus","34587","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41584","occ","","","3256","Hemiscyllium","genus","34585","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41585","occ","","","3256","Palaeorhincodon","genus","34589","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41586","occ","","","3256","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41587","occ","","","3256","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41588","occ","","","3256","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41589","occ","","","3256","Mustelus","genus","34650","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41590","occ","","","3256","Triakis","genus","34666","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41591","occ","","","3256","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41592","occ","","","3256","Lamna","genus","34615","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41594","occ","","","3256","Striatolamia macrota","species","66716","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41595","occ","","","3256","Carcharias","genus","64190","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41596","occ","","","3256","Carcharias acutissima","species","97236","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41597","occ","","","3256","Carcharhinidae","family","83183","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41598","occ","","","3256","Physogaleus","genus","34656","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41599","occ","","","3256","Galeocerdo latidens","species","154351","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41600","occ","","","3256","Galeorhinus","genus","83177","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41601","occ","","","3256","Squatina prima","species","156475","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41606","occ","","","3256","Trygon jaekeli","species","153968","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41607","occ","","","3256","Aetobatus","genus","34721","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41608","occ","","","3256","Myliobatis","genus","34741","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41613","occ","","","3257","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"41614","occ","","","3257","Scoliodon","genus","100438","Early Eocene","Middle Eocene","55.8","37.2","149","","","-1.166667","51.083332"
"45307","occ","","","3590","Squalicorax kaupi","species","210092","Late Campanian","","83.5","70.6","215","","","31.250000","30.049999"
"45308","occ","","","3590","Squalicorax pristodontus","species","110986","Late Campanian","","83.5","70.6","215","","","31.250000","30.049999"
"45309","occ","","","3590","Cretolamna appendiculata","species","117676","Late Campanian","","83.5","70.6","215","","","31.250000","30.049999"
"45875","occ","","","3641","Odontaspididae","family","63010","Campanian","Early Maastrichtian","83.6","66","222","","","-176.000000","-44.333332"
"68130","occ","","","4868","Striatolamia macrota","species","66716","Lutetian","","47.8","41.3","289","","","-81.760559","33.143333"
"68131","occ","","","4868","Carcharhinus macloti","species","83191","Lutetian","","47.8","41.3","289","","","-81.760559","33.143333"
"68132","occ","","","4868","Triaenodon","genus","83202","Lutetian","","47.8","41.3","289","","","-81.760559","33.143333"
"68133","occ","","","4868","Myliobatidae","family","80577","Lutetian","","47.8","41.3","289","","","-81.760559","33.143333"
"75053","occ","","","5553","Isurus","genus","34613","Middle Eocene","Lutetian","48.6","41.3","332","","","-123.597221","47.327778"
"76212","occ","","","5607","Cretolamna","genus","34608","Early Campanian","","83.5","70.6","338","","","-107.925835","38.901669"
"76213","occ","","","5607","Squalicorax pristodontus","species","110986","Early Campanian","","83.5","70.6","338","","","-107.925835","38.901669"
"97404","occ","","","7437","Odontaspis","genus","34620","Bartonian","","41.3","38","466","1","specimens","-96.692780","30.531111"
"97601","occ","","","7439","Odontaspis","genus","34620","Bartonian","","41.3","38","466","1","specimens","-96.692780","30.531111"
"110053","occ","","","8325","Onchus","genus","34866","Ludfordian","","425.6","423","570","0.03","%-specimens","-2.633333","52.483334"
"131810","occ","","","10897","Kirkella declevita","species","176137","Blackhillsian","","478.6","471.8","4045","","","-118.083336","52.883331"
"131817","occ","","","10899","Kirkella declevita","species","176137","Blackhillsian","","478.6","471.8","4045","","","-118.083336","52.883331"
"131863","occ","","","10900","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131872","occ","","","10903","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131874","occ","","","10904","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131879","occ","","","10906","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131884","occ","","","10909","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131890","occ","","","10910","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131894","occ","","","10911","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131897","occ","","","10913","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131905","occ","","","10917","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131915","occ","","","10919","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131924","occ","","","10921","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131936","occ","","","10923","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131942","occ","","","10924","Kirkella declevita","species","176137","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"131968","occ","","","10935","Ptyocephalus","genus","20163","Tremadoc","","485.4","477.7","4045","","","-118.083336","52.883331"
"144271","occ","","","12578","Cretolamna","genus","34608","Early Cenomanian","","99.6","93.5","4244","","","9.000000","52.000000"
"144278","occ","","","12579","Cretolamna","genus","34608","Early Cenomanian","","99.6","93.5","4244","","","9.000000","52.000000"
"144284","occ","","","12580","Cretolamna","genus","34608","Early Cenomanian","","99.6","93.5","4244","","","9.000000","52.000000"
"144289","occ","","","12581","Cretolamna","genus","34608","Early Cenomanian","","99.6","93.5","4244","","","9.000000","52.000000"
"149299","occ","","","13142","Myledaphus bipartitus","species","63022","Maastrichtian","","72.1","66","4381","1","elements","-106.099998","47.799999"
"150329","occ","","","13346","Carcharocles","genus","34603","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150330","occ","","","13346","Odontaspis","genus","34620","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150331","occ","","","13346","Striatolamia macrota","species","66716","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150332","occ","","","13346","Carcharias","genus","64190","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150335","occ","","","13346","Lamna","genus","34615","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150336","occ","","","13346","Abdounia","genus","34638","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150337","occ","","","13346","Galeorhinus recticonus","species","125033","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150338","occ","","","13346","Physodon","genus","65806","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150339","occ","","","13346","Nebrius","genus","34587","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150342","occ","","","13346","Pristis lathami","species","100810","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150343","occ","","","13346","Burnhamia","genus","34727","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150344","occ","","","13346","Aetobatus","genus","34721","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150345","occ","","","13346","Myliobatis","genus","34741","Bridgerian","","50.3","46.2","688","","","-86.519997","31.366667"
"150860","occ","","","13449","Isurus","genus","34613","Miocene","","23.03","5.333","6063","","","79.816666","8.283333"
"150862","occ","","","13449","Hemipristis serra","species","83182","Miocene","","23.03","5.333","6063","","","79.816666","8.283333"
"150863","occ","","","13449","Galeocerdo","genus","34643","Miocene","","23.03","5.333","6063","","","79.816666","8.283333"
"150864","occ","","","13449","Myliobatis","genus","34741","Miocene","","23.03","5.333","6063","","","79.816666","8.283333"
"150865","occ","","","13449","Trygon sinhaleyus","species","68428","Miocene","","23.03","5.333","6063","","","79.816666","8.283333"
"150866","occ","","","13449","Chrysophris","genus","68429","Miocene","","23.03","5.333","6063","","","79.816666","8.283333"
"155373","occ","","","13829","Onchus","genus","34866","Pridoli","","423","419.2","6155","","","24.792778","59.072224"
"155374","occ","","","13829","Onchus tenuistriatus","species","209902","Pridoli","","423","419.2","6155","","","24.792778","59.072224"
"155383","occ","","","13830","Onchus tenuistriatus","species","209902","Pridoli","","423","419.2","6155","","","24.792778","59.072224"
"155404","occ","","","13831","Onchus tenuistriatus","species","209902","Ohesaare","","423","419.2","6155","","","24.792778","59.072224"
"155405","occ","","","13831","Onchus murchisoni","species","209895","Ohesaare","","423","419.2","6155","","","24.792778","59.072224"
"161385","occ","","","14201","Onchus","genus","34866","Lochkovian","","419.2","410.8","4261","","","-61.966667","45.616669"
"217547","occ","","","22219","Isurus","genus","34613","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217548","occ","","","22219","Myliobatis","genus","34741","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217549","occ","","","22219","Squatina","genus","34570","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217550","occ","","","22219","Galeorhinus","genus","83177","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217551","occ","","","22219","Raja","genus","34706","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217552","occ","","","22219","Squalus","genus","34562","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217557","occ","","","22219","Carcharhinus","genus","34640","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217558","occ","","","22219","Odontaspis","genus","34620","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217559","occ","","","22219","Carcharhinus","genus","34640","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217560","occ","","","22219","Odontaspis","genus","34620","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217562","occ","","","22219","Negaprion","genus","34651","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217563","occ","","","22219","Carcharocles megalodon","species","80603","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217564","occ","","","22219","Prionace","genus","34658","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217566","occ","","","22219","Carcharodon","genus","34605","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217574","occ","","","22219","Notidanus serratissimus","species","154371","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217580","occ","","","22219","Squatina","genus","34570","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217586","occ","","","22219","Trygonidae","family","68427","Late Miocene","","11.608","5.333","5419","","","18.150000","-32.976002"
"217600","occ","","","22220","Isurus","genus","34613","Miocene","Pliocene","23.03","2.588","5401","","","18.150000","-32.976002"
"217601","occ","","","22220","Lamna","genus","34615","Miocene","Pliocene","23.03","2.588","5401","","","18.150000","-32.976002"
"217604","occ","","","22220","Rhinoptera","genus","34745","Miocene","Pliocene","23.03","2.588","5401","","","18.150000","-32.976002"
"217650","occ","","","22221","Trygonidae","family","68427","Zanclean","","5.333","3.6","5391","","","18.150000","-32.976002"
"217664","occ","","","22221","Squatina","genus","34570","Zanclean","","5.333","3.6","5391","","","18.150000","-32.976002"
"217699","occ","","","22222","Squatina","genus","34570","Zanclean","","5.333","3.6","5423","","","18.150000","-32.976002"
"219937","occ","","","22640","Cretorectolobus olsoni","species","117649","Late Campanian","","83.5","70.6","5723","2","elements","-111.324570","50.815014"
"219938","occ","","","22640","Eucrossorhinus microcuspidatus","species","117648","Late Campanian","","83.5","70.6","5723","1","elements","-111.324570","50.815014"
"219939","occ","","","22640","Odontaspis","genus","34620","Late Campanian","","83.5","70.6","5723","1","elements","-111.324570","50.815014"
"219940","occ","","","22640","Carcharias","genus","64190","Late Campanian","","83.5","70.6","5723","4","elements","-111.324570","50.815014"
"219941","occ","18482","","22640","Archaeolamna","genus","34601","Late Campanian","","83.5","70.6","18895","46","elements","-111.324570","50.815014"
"219943","occ","","","22640","Myledaphus bipartitus","species","63022","Late Campanian","","83.5","70.6","5723","496","elements","-111.324570","50.815014"
"220062","occ","","","22679","Pseudohypolophus","genus","34703","Late Albian","Early Cenomanian","105.3","93.5","13288","","","-111.038002","39.051498"
"220063","occ","","","22679","Cretorectolobus","genus","34582","Late Albian","Early Cenomanian","105.3","93.5","13288","1","specimens","-111.038002","39.051498"
