Carcharhinus,Carcharhinus balochenisis,31.0,31.0
Synodontaspis,Synodontaspis atlasi,44.55,51.9
Gladioserratus,Gladioserratus magnus,101.4,101.4
Trygon,Trygon jaekeli,35.55,57.25
Pseudoginglymostoma,Pseudoginglymostoma brevicaudatum,42.9,42.9
Mesiteia,Mesiteia emiliae,97.2,97.2
Odontaspis,Odontaspis incurva,25.565,63.8
Moerigaleus,Moerigaleus vitreodon,35.95,35.95
Protosqualus,Protosqualus glickmani,77.05,102.45
Galeocerdo,Galeocerdo alabamensis,35.55,39.65
Carcharias,Carcharias taurus,0.06885,25.565
Squalus,Squalus weltoni,42.9,51.9
Odontaspis,Odontaspis exilis,52.2,52.2
Kirkella,Kirkella indentata,305.35,305.35
Pristis,Pristis pectinatus,4.4665,4.4665
Heptranchias,Heptranchias howelli,21.735,42.9
Myliobatis,Myliobatis striatus,31.0,66.15
Protosqualus,Protosqualus argentinensis,68.3,68.3
Carcharias,Carcharias collata,9.433,18.205
Odontaspis,Odontaspis vorax,8.4705,14.895
Odontaspis,Odontaspis contortidens,21.735,35.95
Premontreia,Premontreia (Premontreia) uralica,35.95,35.95
Prionodon,Prionodon gibbesi,19.5,42.9
Carcharias,Carcharias (Physodon) quartus,35.95,35.95
Galeocerdo,Galeocerdo latidens,14.895,51.9
Premontreia,Premontreia degremonti,52.2,52.2
Leptostyrax,Leptostyrax bicuspidatus,106.75,106.75
Myliobatis,Myliobatis sulcidens,60.4,60.4
Eucrossorhinus,Eucrossorhinus microcuspidatus,77.05,77.85
Lamna,Lamna serra,69.05,83.25
Moreyella,Moreyella typicalis,305.35,305.35
Squalogaleus,Squalogaleus woodwardi,147.9,147.9
Carcharodon,Carcharodon turgidus,18.205,25.565
Igdabatis,Igdabatis sigmodon,69.05,69.05
Cooperella,Cooperella subsulcata,305.35,305.35
Scoliodon,Scoliodon terraenovae,19.5,35.55
Procentrophorus,Procentrophorus balticus,96.55,96.55
Gryphodobatis,Gryphodobatis uncus,14.1815,14.1815
Myliobatis,Myliobatis frangens,14.895,14.895
Carcharias,Carcharias acutissima,6.073,46.5
Squalus,Squalus woodburnei,42.9,51.9
Carcharodon,Carcharodon angustidens,14.1815,44.95
Raja,Raja batis,2.197,2.197
Squatina,Squatina alifera,150.35,150.35
Pristis,Pristis curvidens,34.294,105.5
Galeocerdo,Galeocerdo contortus,9.433,57.25
Megachasma,Megachasma applegatei,21.735,25.565
Palaeoscyllium,Palaeoscyllium tenuidens,167.2,167.2
Palaeobrachaelurus,Palaeobrachaelurus bedfordensis,164.8,164.8
Pseudonotidanus,Pseudonotidanus semirugosus,167.2,167.2
Hemiscyllium,Hemiscyllium hermani,77.05,77.85
Trygon,Trygon (Taeniura) muricata,44.55,44.55
Ginglymostoma,Ginglymostoma globidens,77.05,77.85
Raja,Raja olisiponensis,6.073,6.073
Dwardius,Dwardius sudindicus,101.4,101.4
Ginglymostoma,Ginglymostoma parvula,99.4,99.4
Lamna,Lamna twiggsensis,35.55,35.55
Notidanus,Notidanus serratissimus,8.4705,52.2
Squalus,Squalus minor,44.55,63.85
Lamna,Lamna (Odontaspis) bronnii,63.8,63.8
Palaeogaleus,Palaeogaleus vincenti,53.05,63.85
Pristis,Pristis lanceolatus,10.4,10.4
Myliobatis,Myliobatis magister,14.1815,57.6
Carcharhinus,Carcharhinus egertoni,3.9605,19.5
Synodontaspis,Synodontaspis holmdelensis,63.8,77.85
Pachygaleus,Pachygaleus lefevrei,51.9,57.6
Myliobatis,Myliobatis oligocaena,31.15,31.15
Pseudocetorhinus,Pseudocetorhinus pickfordi,204.9,204.9
Scyllium,Scyllium tumidens,133.2,133.2
Odontaspis,Odontaspis winkleri,35.95,61.0
Pristis,Pristis atlanticus,9.433,9.433
Foumtizia,Foumtizia zhelezkoi,35.95,35.95
Onchopristis,Onchopristis numidus,96.55,106.75
Onchus,Onchus wheathillensis,415.0,415.0
Notorynchus,Notorynchus cepedianus,14.895,14.895
Galeorhinus,Galeorhinus falconeri,35.95,44.55
Lamna,Lamna sulcata,96.55,119.0
Squatina,Squatina baumbergensis,77.05,77.05
Aetobatis,Aetobatis irregularis,8.4705,57.25
Fortscottella,Fortscottella gemmicula,305.35,305.35
Myliobatis,Myliobatis gigas,14.1815,14.895
Pristis,Pristis brachyodon,34.294,44.95
Megascyliorhinus,Megascyliorhinus miocaenicus,6.073,14.895
Squatirhina,Squatirhina lonzeensis,77.05,77.05
Notidanodon,Notidanodon lanceolatus,83.25,131.15
Carcharhinus,Carcharhinus falciformis,1.294,21.735
Lamna,Lamna barnitzkei,35.95,35.95
Lamna,Lamna (Odontaspis) dubia,18.205,18.205
Squalicorax,Squalicorax dalinkevichiusi,102.45,102.45
Aprionodon,Aprionodon greyegertoni,35.95,35.95
Galeorhinus,Galeorhinus affinis,4.4665,57.25
Archaeolamna,Archaeolamna kopingensis,77.05,99.4
Hemipristis,Hemipristis serra,1.05,51.9
Carcharias,Carcharias (Prionodon) egertoni,14.895,14.895
Cardabiodon,Cardabiodon ricki,97.2,97.2
Galeocerdo,Galeocerdo eaglesomei,35.95,44.55
Igdabatis,Igdabatis indicus,68.3,69.05
Lamna,Lamna denticulata,14.895,14.895
Myliobatis,Myliobatis jugosus,44.95,57.6
Squatina,Squatina cranei,136.35,136.35
Myliobatis,Myliobatis vicomicanus,14.895,14.895
Alopecias,Alopecias smithwoodwardi,35.95,35.95
Sphyrna,Sphyrna lewini,3.9605,13.789
Pristis,Pristis dubius,158.45,158.45
Kirkella,Kirkella fillmorensis,478.6,478.6
Galeorhinus,Galeorhinus huberensis,35.55,39.65
Carcharoides,Carcharoides totuserratus,19.5,25.565
Hammondella,Hammondella crassa,301.3,301.3
Raja,Raja heinzelini,31.0,31.0
Eotorpedo,Eotorpedo zennaroi,63.8,63.8
Isurus,Isurus oxyrhinchus,1.6845,35.55
Moreyella,Moreyella aviculiformis,305.35,305.35
Pristis,Pristis amblodon,14.895,39.65
Onchopristis,Onchopristis dunklei,74.8,110.515
Galeocerdo,Galeocerdo clarkensis,35.55,39.65
Pristis,Pristis pickeringi,35.55,35.55
Cooperella,Cooperella typicalis,305.35,305.35
Carcharodon,Carcharodon plicatilis,6.2895,9.433
Palaeobrachaelurus,Palaeobrachaelurus alisonae,164.8,164.8
Isurus,Isurus escheri,4.4665,9.433
Sclerorhynchus,Sclerorhynchus atavus,84.95,84.95
Manta,Manta fragilis,25.565,25.565
Rhizoprionodon,Rhizoprionodon taxandriae,3.9605,14.895
Notidanus,Notidanus primigenius,9.433,35.95
Archaeotriakis,Archaeotriakis rochelleae,77.05,77.85
Eoptolamna,Eoptolamna eccentrolopha,126.23,126.23
Oxypristis,Oxypristis ferinus,35.95,35.95
Raja,Raja terhagenensis,25.565,25.565
Cretorectolobus,Cretorectolobus olsoni,68.3,77.85
Carcharhinus,Carcharhinus obscurus,0.06885,19.5
Notidanus,Notidanus munsteri,154.7,154.7
Squatina,Squatina prima,35.55,53.05
Carcharodon,Carcharodon productus,18.205,18.205
Rhinoptera,Rhinoptera rasilis,35.95,35.95
Pristis,Pristis lathami,31.0,48.25
Paraisurus,Paraisurus compressus,106.75,106.75
Negaprion,Negaprion brevirostris,0.06885,19.5
Hexanchus,Hexanchus wiedenrothi,186.75,186.75
Hemipristis,Hemipristis wyattdurhami,19.5,39.65
Pseudodontaspis,Pseudodontaspis lauderdalensis,52.2,57.25
Sphyrna,Sphyrna media,3.9605,25.565
Squalicorax,Squalicorax volgensis,96.55,96.55
Pseudocorax,Pseudocorax laevis,77.05,77.85
Plinthicus,Plinthicus stenodon,12.72,25.565
Cretolamna,Cretolamna biauriculata,68.3,83.25
Rhaibodus,Rhaibodus rapax,35.95,35.95
Scyliorhinus,Scyliorhinus enniskilleni,35.55,35.95
Pristis,Pristis ensidens,14.1815,14.1815
Eosqualiolus,Eosqualiolus aturensis,42.9,42.9
Sphyrna,Sphyrna magna,14.895,19.5
Odontaspis,Odontaspis ferox,12.72,21.735
Galeorhinus,Galeorhinus recticonus,39.65,48.25
Cyclobatis,Cyclobatis tuberculatus,97.2,97.2
Aetobatus,Aetobatus arcuatus,8.4705,31.15
Eomobula,Eomobula stehmanni,44.55,51.9
Squalus,Squalus acanthias,8.4705,9.433
Eotorpedo,Eotorpedo jaekeli,57.25,57.25
Squatirhina,Squatirhina americana,68.3,77.05
Lamna,Lamna (Odontaspis) gracilis,77.05,131.15
Annea,Annea carinata,169.3,173.6
Apocopodon,Apocopodon sericeus,83.25,83.25
Squalus,Squalus orpiensis,25.565,57.6
Cyclobatis,Cyclobatis oligodactylus,97.2,97.2
Hammondella,Hammondella globosa,301.3,301.3
Kirkella,Kirkella typicalis,305.35,305.35
Triaenodon,Triaenodon obesus,12.72,12.72
Palaeobrachaelurus,Palaeobrachaelurus mussetti,167.2,170.0
Prionodon,Prionodon egertoni,8.4705,14.895
Carcharias,Carcharias tenuis,63.8,77.85
Aetobatis,Aetobatis profundus,14.895,14.895
Carcharodon,Carcharodon humilis,18.205,18.205
Chiloscyllium,Chiloscyllium meraense,44.55,44.55
Carcharodon,Carcharodon tembloris,14.895,14.895
Carcharodon,Carcharodon orientalis,56.3,56.3
Myliobatis,Myliobatis aquila,1.6845,3.9605
Isurus,Isurus spallanzani,51.9,51.9
Squaliodalatias,Squaliodalatias weltoni,42.9,48.65
Dallasiella,Dallasiella willistoni,96.55,96.55
Pristis,Pristis bisulcatus,35.55,35.55
Akaimia,Akaimia altucuspis,162.95,162.95
Squatina,Squatina occidentalis,12.72,18.205
Gladioserratus,Gladioserratus aptiensis,106.75,106.75
Raja,Raja texana,52.2,52.2
Scyliorhinus,Scyliorhinus pattersoni,44.55,44.55
Ginglymostoma,Ginglymostoma obliquum,19.5,44.55
Heterodontus,Heterodontus rugosus,77.05,77.05
